Name,Runs,Wickets,Balls,Strike_rate,Avg,batting_style
JA Morkel,974,40,711,136.9901547116737,24.35,Left-hand bat
T Thushara,11,2,19,57.89473684210526,5.5,Left-hand bat
V Sehwag,2727,98,1833,148.77250409165302,27.8265306122449,Right-hand bat
CR Brathwaite,83,6,40,207.5,13.833333333333334,Right-hand bat
Shivam Sharma,5,1,3,166.66666666666666,5.0,Right-hand bat
NK Patel,121,5,124,97.58064516129032,24.2,Left-hand bat
MJ Guptill,57,3,55,103.63636363636364,19.0,Right-hand bat
GB Hogg,22,2,22,100.0,11.0,Left-hand bat
GD McGrath,4,1,5,80.0,4.0,Right-hand bat
CK Kapugedera,16,3,24,66.66666666666667,5.333333333333333,Right-hand bat
A Singh,2,4,10,20.0,0.5,Right-hand bat
CRD Fernando,2,1,3,66.66666666666667,2.0,Right-hand bat
M Kartik,112,7,109,102.75229357798165,16.0,Left-hand bat
RE Levi,83,6,74,112.16216216216216,13.833333333333334,Right-hand bat
MJ Lumb,278,10,198,140.40404040404042,27.8,Left-hand bat
Iqbal Abdulla,83,1,79,105.0632911392405,83.0,Left-hand bat
SK Warne,197,19,219,89.95433789954338,10.368421052631579,Right-hand bat
RV Uthappa,3384,119,2719,124.45752114748069,28.436974789915965,Right-hand bat
MC Henriques,691,29,564,122.51773049645391,23.82758620689655,Right-hand bat
S Nadeem,24,11,62,38.70967741935484,2.1818181818181817,Right-hand bat
Kamran Khan,3,1,5,60.0,3.0,Left-hand bat
KW Richardson,36,3,39,92.3076923076923,12.0,Right-hand bat
PC Valthaty,505,22,432,116.89814814814815,22.954545454545453,Right-hand bat
Umar Gul,38,3,19,200.0,12.666666666666666,Right-hand bat
SW Billings,88,4,66,133.33333333333334,22.0,Right-hand bat
B Chipli,280,16,256,109.375,17.5,Right-hand bat
J Theron,10,2,13,76.92307692307692,5.0,Right-hand bat
B Lee,121,10,102,118.62745098039215,12.1,Right-hand bat
AM Nayar,659,39,583,113.03602058319039,16.897435897435898,Left-hand bat
PP Ojha,15,10,45,33.333333333333336,1.5,Left-hand bat
JH Kallis,2426,89,2291,105.89262330859887,27.258426966292134,Right-hand bat
MM Patel,39,4,40,97.5,9.75,Right-hand bat
DE Bollinger,21,1,23,91.30434782608695,21.0,Left-hand bat
LRPL Taylor,1015,41,847,119.83471074380165,24.75609756097561,Right-hand bat
CH Gayle,3424,80,2348,145.82623509369677,42.8,Left-hand bat
AN Ghosh,7,2,8,87.5,3.5,Right-hand bat
MDKJ Perera,14,2,13,107.6923076923077,7.0,Left-hand bat
SP Narine,47,5,58,81.03448275862068,9.4,Left-hand bat
BAW Mendis,3,2,6,50.0,1.5,Right-hand bat
Imran Tahir,18,4,23,78.26086956521739,4.5,Right-hand bat
P Negi,208,11,170,122.3529411764706,18.90909090909091,Left-hand bat
AP Majumdar,87,4,77,112.98701298701299,21.75,Right-hand bat
GR Napier,15,1,16,93.75,15.0,Right-hand bat
L Balaji,36,7,50,72.0,5.142857142857143,Right-hand bat
J Suchith,48,1,33,145.45454545454547,48.0,Left-hand bat
Shoaib Akhtar,2,1,8,25.0,2.0,Right-hand bat
AS Rajpoot,2,0,6,33.333333333333336,2.0,Right-hand bat
Sachin Baby,121,6,89,135.95505617977528,20.166666666666668,Left-hand bat
Abdur Razzak,0,0,2,0.0,0.0,Left-hand bat
DJG Sammy,292,15,249,117.26907630522088,19.466666666666665,Right-hand bat
JR Hopes,417,17,314,132.80254777070064,24.529411764705884,Right-hand bat
KP Pietersen,1001,29,758,132.0580474934037,34.51724137931034,Right-hand bat
CJ Ferguson,98,6,119,82.3529411764706,16.333333333333332,Right-hand bat
DL Vettori,121,7,118,102.54237288135593,17.285714285714285,Left-hand bat
KH Pandya,237,5,127,186.61417322834646,47.4,Left-hand bat
X Thalaivan Sargunam,10,1,17,58.8235294117647,10.0,Right-hand bat
M Manhas,513,24,486,105.55555555555556,21.375,Right-hand bat
S Sriram,31,2,38,81.57894736842105,15.5,Left-hand bat
A Mishra,289,27,326,88.65030674846626,10.703703703703704,Right-hand bat
RA Jadeja,1572,72,1340,117.31343283582089,21.833333333333332,Left-hand bat
Harmeet Singh,18,2,12,150.0,9.0,Right-hand bat
YV Takawale,192,8,183,104.91803278688525,24.0,Right-hand bat
AN Ahmed,36,1,27,133.33333333333334,36.0,Right-hand bat
BMAJ Mendis,22,3,27,81.48148148148148,7.333333333333333,Left-hand bat
JE Taylor,3,0,4,75.0,3.0,Right-hand bat
JP Duminy,1991,47,1630,122.14723926380368,42.361702127659576,Left-hand bat
JEC Franklin,327,11,309,105.8252427184466,29.727272727272727,Left-hand bat
DJ Hussey,1321,49,1101,119.98183469573115,26.959183673469386,Right-hand bat
MG Johnson,130,14,140,92.85714285714286,9.285714285714286,Left-hand bat
SV Samson,1039,41,890,116.74157303370787,25.341463414634145,Right-hand bat
SM Pollock,147,8,116,126.72413793103448,18.375,Right-hand bat
PD Collingwood,203,4,159,127.67295597484276,50.75,Right-hand bat
TL Suman,675,30,587,114.99148211243612,22.5,Right-hand bat
CH Morris,282,8,178,158.42696629213484,35.25,Right-hand bat
S Gopal,14,2,27,51.851851851851855,7.0,Right-hand bat
DB Ravi Teja,374,20,325,115.07692307692308,18.7,Right-hand bat
P Sahu,19,0,13,146.15384615384616,19.0,Right-hand bat
R Sathish,269,16,236,113.98305084745763,16.8125,Right-hand bat
IK Pathan,1132,52,978,115.74642126789367,21.76923076923077,Left-hand bat
AC Gilchrist,2068,76,1555,132.99035369774919,27.210526315789473,Left-hand bat
M Morkel,126,11,93,135.48387096774192,11.454545454545455,Left-hand bat
ST Jayasuriya,754,29,567,132.9805996472663,26.0,Left-hand bat
BB Samantray,120,5,115,104.34782608695652,24.0,Right-hand bat
D Wiese,126,5,94,134.04255319148936,25.2,Right-hand bat
DR Martyn,19,2,26,73.07692307692308,9.5,Right-hand bat
Anureet Singh,18,3,31,58.064516129032256,6.0,Right-hand bat
A Uniyal,4,1,7,57.142857142857146,4.0,Left-hand bat
A Chopra,53,5,75,70.66666666666667,10.6,Right-hand bat
LMP Simmons,942,21,762,123.62204724409449,44.857142857142854,Right-hand bat
PV Tambe,18,1,39,46.15384615384615,18.0,Right-hand bat
RE van der Merwe,158,12,144,109.72222222222223,13.166666666666666,Right-hand bat
KV Sharma,266,15,243,109.46502057613169,17.733333333333334,Left-hand bat
Mohammad Ashraful,2,1,12,16.666666666666668,2.0,Right-hand bat
S Narwal,36,4,29,124.13793103448276,9.0,Left-hand bat
B Akhil,75,7,57,131.57894736842104,10.714285714285714,Right-hand bat
TD Paine,10,2,29,34.48275862068966,5.0,Right-hand bat
KB Arun Karthik,49,5,53,92.45283018867924,9.8,Right-hand bat
KA Pollard,1957,71,1380,141.81159420289856,27.56338028169014,Right-hand bat
SR Watson,2547,78,1865,136.56836461126005,32.65384615384615,Right-hand bat
NLTC Perera,419,23,321,130.52959501557632,18.217391304347824,Left-hand bat
R McLaren,159,8,178,89.32584269662921,19.875,Left-hand bat
KJ Abbott,13,1,8,162.5,13.0,Right-hand bat
VR Aaron,42,2,45,93.33333333333333,21.0,Right-hand bat
JC Buttler,255,11,189,134.9206349206349,23.181818181818183,Right-hand bat
GC Smith,730,30,686,106.41399416909621,24.333333333333332,Left-hand bat
AA Chavan,12,1,11,109.0909090909091,12.0,Left-hand bat
MK Tiwary,1322,49,1202,109.98336106489185,26.979591836734695,Right-hand bat
RG More,2,0,2,100.0,2.0,Right-hand bat
AC Blizzard,120,7,91,131.86813186813185,17.142857142857142,Left-hand bat
DJ Muthuswami,1,1,3,33.333333333333336,1.0,Right-hand bat
MEK Hussey,1971,52,1642,120.03654080389768,37.90384615384615,Left-hand bat
JDP Oram,106,8,110,96.36363636363636,13.25,Left-hand bat
MJ McClenaghan,47,4,29,162.06896551724137,11.75,Left-hand bat
SS Tiwary,1224,43,1065,114.92957746478874,28.46511627906977,Left-hand bat
NM Coulter-Nile,38,4,40,95.0,9.5,Right-hand bat
RJ Harris,117,12,112,104.46428571428571,9.75,Right-hand bat
DJ Bravo,1256,54,1026,122.41715399610136,23.25925925925926,Right-hand bat
Azhar Mahmood,387,19,311,124.43729903536978,20.36842105263158,Right-hand bat
A Chandila,4,1,7,57.142857142857146,4.0,Right-hand bat
HM Amla,157,6,122,128.68852459016392,26.166666666666668,Right-hand bat
Parvez Rasool,17,2,20,85.0,8.5,Right-hand bat
B Kumar,153,17,156,98.07692307692308,9.0,Right-hand bat
GJ Bailey,662,29,552,119.92753623188406,22.82758620689655,Right-hand bat
B Sumanth,35,1,38,92.10526315789474,35.0,Right-hand bat
R Dravid,2172,77,1918,113.2429614181439,28.207792207792206,Right-hand bat
BJ Haddin,18,1,11,163.63636363636363,18.0,Right-hand bat
SK Trivedi,42,8,61,68.85245901639344,5.25,Right-hand bat
ER Dwivedi,24,2,15,160.0,12.0,Right-hand bat
RP Singh,51,15,78,65.38461538461539,3.4,Right-hand bat
SB Styris,131,7,134,97.76119402985074,18.714285714285715,Right-hand bat
PJ Sangwan,22,4,32,68.75,5.5,Right-hand bat
SJ Srivastava,5,1,5,100.0,5.0,Right-hand bat
DS Lehmann,18,2,19,94.73684210526316,9.0,Left-hand bat
JJ van der Wath,18,2,17,105.88235294117646,9.0,Right-hand bat
JM Kemp,26,2,25,104.0,13.0,Right-hand bat
LA Carseldine,77,3,69,111.59420289855072,25.666666666666668,Left-hand bat
Yuvraj Singh,2335,90,1860,125.53763440860214,25.944444444444443,Left-hand bat
RS Gavaskar,2,1,8,25.0,2.0,Left-hand bat
P Dogra,127,12,141,90.0709219858156,10.583333333333334,Right-hand bat
DP Nannes,4,1,13,30.76923076923077,4.0,Right-hand bat
SN Thakur,7,0,6,116.66666666666667,7.0,Right-hand bat
IR Jaggi,43,4,60,71.66666666666667,10.75,Right-hand bat
MS Dhoni,3265,92,2419,134.97312939231088,35.48913043478261,Right-hand bat
AC Voges,179,6,143,125.17482517482517,29.833333333333332,Right-hand bat
CA Lynn,89,4,85,104.70588235294117,22.25,Right-hand bat
GH Vihari,277,18,316,87.65822784810126,15.38888888888889,Right-hand bat
K Upadhyay,12,0,9,133.33333333333334,12.0,Right-hand bat
NS Naik,23,2,33,69.6969696969697,11.5,Right-hand bat
RV Gomez,49,7,53,92.45283018867924,7.0,Right-hand bat
Mohammad Asif,3,2,6,50.0,1.5,Left-hand bat
JJ Bumrah,9,2,15,60.0,4.5,Right-hand bat
S Anirudha,136,8,121,112.39669421487604,17.0,Right-hand bat
Z Khan,111,14,128,86.71875,7.928571428571429,Right-hand bat
J Yadav,6,0,12,50.0,6.0,Right-hand bat
A Kumble,35,2,49,71.42857142857143,17.5,Right-hand bat
SE Bond,1,1,2,50.0,1.0,Right-hand bat
MC Juneja,125,7,134,93.28358208955224,17.857142857142858,Right-hand bat
Jaskaran Singh,8,2,11,72.72727272727273,4.0,Right-hand bat
SW Tait,23,3,26,88.46153846153847,7.666666666666667,Right-hand bat
