Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,Total,batting_style,bowling_arm,bowling_style,Bowls played,Strike Rate,Average
JA Morkel,V Sehwag,3,3,0,0,1,0,3,1,25,Left-hand bat,Right-arm,offbreak,11,227.2727273,25
JA Morkel,Shivam Sharma,2,0,1,0,0,0,0,1,2,Left-hand bat,Right-arm,offbreak,4,50,2
JA Morkel,TL Suman,0,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,offbreak,2,100,2
JA Morkel,MS Gony,0,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,medium,2,100,2
JA Morkel,RJ Harris,1,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,fast,2,50,1
JA Morkel,DJ Bravo,5,7,2,0,3,0,1,0,29,Left-hand bat,Right-arm,medium-fast,18,161.1111111,29
JA Morkel,GD McGrath,0,0,0,0,1,0,0,1,4,Left-hand bat,Right-arm,fast-medium,2,200,4
JA Morkel,Azhar Mahmood,1,2,0,0,1,0,1,2,12,Left-hand bat,Right-arm,fast-medium,7,171.4285714,6
JA Morkel,A Singh,0,1,1,0,0,0,0,0,3,Left-hand bat,Right-arm,medium-fast,2,150,3
JA Morkel,GJ Maxwell,3,4,2,0,0,0,3,0,26,Left-hand bat,Right-arm,offbreak,12,216.6666667,26
JA Morkel,AA Jhunjhunwala,6,3,4,0,0,0,1,1,17,Left-hand bat,Right-arm,offbreak,15,113.3333333,17
JA Morkel,B Kumar,1,2,1,0,0,0,0,0,4,Left-hand bat,Right-arm,medium,4,100,4
JA Morkel,S Aravind,0,1,1,0,0,0,2,0,15,Left-hand bat,Left-arm,medium-fast,4,375,15
JA Morkel,KW Richardson,2,1,1,0,0,0,0,0,3,Left-hand bat,Right-arm,fast-medium,4,75,3
JA Morkel,Iqbal Abdulla,5,2,0,0,0,0,0,0,2,Left-hand bat,Left-arm,slow,7,28.57142857,2
JA Morkel,SK Warne,12,9,4,0,6,0,8,0,89,Left-hand bat,Right-arm,legbreak,39,228.2051282,89
JA Morkel,MR Marsh,1,2,0,0,0,0,1,0,8,Left-hand bat,Right-arm,medium,4,200,8
JA Morkel,Mohammad Asif,0,1,0,0,1,0,0,0,5,Left-hand bat,Right-arm,fast-medium,2,250,5
