JA Morkel,Albie Morkel,Morne Morkel,
,,,
N Rana,Nitish Rana,,
,,,
DA Warner,David Warner,,
,,,
DA Miller,David Miller,,
,,,
TA Boult,Trent Boult,,
,,,
S Ladda,Sarabjit Ladda,,
,,,
VRV Singh,Mandeep Singh,Harbhajan Singh,RP Singh
,,,
NK Patel,Parthiv Patel,Harshal Patel,Axar Patel
,,,
MJ McClenaghan,Mitchell McClenaghan,,
,,,
SS Tiwary,Saurabh Tiwary,,
,,,
GB Hogg,Brad Hogg,,
,,,
AR Patel,Parthiv Patel,Harshal Patel,Axar Patel
,,,
MD Mishra,Amit Mishra,A Mishra,
,,,
DJ Bravo,Dwayne Bravo,,
,,,
V Shankar,Vijay Shankar,,
,,,
CR Brathwaite,Carlos Brathwaite,,
,,,
T Kohli,Virat Kohli,,
,,,
A Singh,Mandeep Singh,Harbhajan Singh,RP Singh
,,,
EJG Morgan,Eoin Morgan,,
,,,
HM Amla,Hashim Amla,,
,,,
Mandeep Singh,Mandeep Singh,,
,,,
M de Lange,Marchant de Lange,,
,,,
GJ Maxwell,Glenn Maxwell,,
,,,
B Kumar,Praveen Kumar,Bhuvneshwar Kumar,Vinay Kumar
,,,
YA Abdulla,Iqbal Abdulla,,
,,,
GJ Bailey,George Bailey,,
,,,
P Kumar,Praveen Kumar,Bhuvneshwar Kumar,Vinay Kumar
,,,
Iqbal Abdulla,Iqbal Abdulla,,
,,,
AT Rayudu,Ambati Rayudu,,
,,,
BCJ Cutting,Ben Cutting,,
,,,
SN Khan,Zaheer Khan,Sarfaraz Khan,
,,,
KK Nair,Karun Nair,,
,,,
UT Yadav,Umesh Yadav,Suryakumar Yadav,Kuldeep Yadav
,,,
Mustafizur Rahman,Mustafizur Rahman,,
,,,
RV Uthappa,Robin Uthappa,,
,,,
ER Dwivedi,Eklavya Dwivedi ,,
,,,
RP Singh,Mandeep Singh,Harbhajan Singh,RP Singh
,,,
PR Shah,Shahbaz Nadeem,Jaydev Shah,
,,,
MC Henriques,Moises Henriques,,
,,,
S Nadeem,Shahbaz Nadeem,,
,,,
GC Smith,Steve Smith,Dwayne Smith,
,,,
KW Richardson,Kane Richardson,,
,,,
PJ Sangwan,Pradeep Sangwan,,
,,,
KD Karthik,Dinesh Karthik,,
,,,
SM Boland,Scott Boland,,
,,,
SW Billings,Sam Billings,,
,,,
Swapnil Singh,Swapnil Singh,,
,,,
MA Agarwal,Mayank Agarwal,,
,,,
Yuvraj Singh,Yuvraj Singh,,
,,,
AUK Pathan,Irfan Pathan,Yusuf Pathan,
,,,
F du Plessis,Francois du Plessis,,
,,,
PSP Handscomb,Peter Handscomb,,
,,,
AD Russell,Andre Russell,,
,,,
Jaskaran Singh,Jaskaran Singh,,
,,,
P Dogra,Paras Dogra,,
,,,
R Bhatia,Rajat Bhatia,,
,,,
CJ Anderson,Corey Anderson,,
,,,
Bipul Sharma,Bipul Sharma,,
,,,
MJ Guptill,Martin Guptill,,
,,,
JP Faulkner,James Faulkner,,
,,,
MS Dhoni,MS Dhoni,,
,,,
PP Ojha,Naman Ojha,,
,,,
F Behardien,Farhaan Behardien,,
,,,
NL McCullum,Brendon McCullum,,
,,,
DL Chahar,Deepak Chahar,,
,,,
Ishan Kishan,Ishan Kishan,,
,,,
AM Rahane,Ajinkya Rahane,,
,,,
MM Patel,Parthiv Patel,Harshal Patel,Axar Patel
,,,
CH Gayle,Chris Gayle,,
,,,
NM Coulter-Nile,Nathan Coulter-Nile,,
,,,
M Ashwin,Ravichandran Ashwin,Murugan Ashwin,
,,,
G Gambhir,Gautam Gambhir,,
,,,
NS Naik,Nikhil Naik,,
,,,
