Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
CR Brathwaite,83,6,40,207.5,13.8333333333,11,7,2,0,6,8,Right-hand bat
Umar Gul,38,3,19,200,12.6666666667,6,4,0,0,1,5,Right-hand bat
RS Sodhi,4,0,2,200,4,1,0,0,0,1,0,Right-hand bat
KH Pandya,237,5,127,186.6141732283,47.4,33,39,13,2,22,13,Left-hand bat
Shahid Afridi,81,8,46,176.0869565217,10.125,12,12,0,0,7,6,Right-hand bat
I Malhotra,7,0,4,175,7,0,3,0,0,1,0,Right-hand bat
SN Khan,175,8,103,169.9029126214,21.875,19,39,12,0,19,6,Right-hand bat
BCJ Cutting,73,3,43,169.7674418605,24.3333333333,17,9,3,0,4,7,Right-hand bat
LJ Wright,106,4,63,168.253968254,26.5,18,20,2,0,16,3,Right-hand bat
Shivam Sharma,5,1,3,166.6666666667,5,0,1,0,0,1,0,Right-hand bat
KMDN Kulasekara,5,0,3,166.6666666667,5,1,1,0,0,1,0,Right-hand bat
KK Cooper,116,9,70,165.7142857143,12.8888888889,20,16,8,0,9,8,Right-hand bat
Kamran Akmal,128,4,78,164.1025641026,32,29,20,4,0,13,8,Right-hand bat
BJ Haddin,18,1,11,163.6363636364,18,4,2,1,0,2,1,Right-hand bat
AD Russell,563,20,345,163.1884057971,28.15,106,113,23,0,47,36,Right-hand bat
KJ Abbott,13,1,8,162.5,13,2,2,1,1,0,1,Right-hand bat
MJ McClenaghan,47,4,29,162.0689655172,11.75,9,9,0,0,2,5,Left-hand bat
ER Dwivedi,24,2,15,160,12,5,4,0,0,2,2,Right-hand bat
CH Morris,282,8,178,158.4269662921,35.25,48,66,21,0,18,17,Right-hand bat
Bipul Sharma,155,5,99,156.5656565657,31,20,43,14,0,9,8,Left-hand bat
GJ Maxwell,918,40,593,154.8060708263,22.95,193,178,50,0,76,56,Right-hand bat
Harmeet Singh,18,2,12,150,9,3,2,2,0,3,0,Right-hand bat
AUK Pathan,39,5,26,150,7.8,9,3,2,0,5,2,Right-hand bat
V Sehwag,2727,98,1833,148.7725040917,27.8265306122,640,557,96,2,334,106,Right-hand bat
LPC Silva,40,2,27,148.1481481481,20,8,8,3,0,5,1,Right-hand bat
AP Dole,34,2,23,147.8260869565,17,5,8,4,0,3,1,Right-hand bat
AB de Villiers,3257,78,2227,146.2505612932,41.7564102564,623,917,182,12,275,140,Right-hand bat
P Sahu,19,0,13,146.1538461538,19,4,5,2,0,1,1,Right-hand bat
CH Gayle,3424,80,2348,145.8262350937,42.8,1008,661,66,3,279,251,Left-hand bat
J Suchith,48,1,33,145.4545454545,48,11,10,5,0,4,2,Left-hand bat
TG Southee,47,4,33,142.4242424242,11.75,6,13,5,0,3,2,Right-hand bat
A Ashish Reddy,279,15,196,142.3469387755,18.6,47,82,20,1,16,15,Right-hand bat
S Aravind,27,0,19,142.1052631579,27,7,7,0,0,5,0,Left-hand bat
MF Maharoof,176,10,124,141.935483871,17.6,35,42,16,0,12,9,Right-hand bat
KA Pollard,1957,71,1380,141.8115942029,27.5633802817,474,480,94,5,131,125,Right-hand bat
YK Pathan,2749,89,1941,141.6280267903,30.8876404494,627,727,124,4,229,141,Right-hand bat
Misbah-ul-Haq,116,9,82,141.4634146341,12.8888888889,23,28,6,0,10,6,Right-hand bat
DA Miller,1479,41,1052,140.5893536122,36.0731707317,305,430,101,1,100,74,Left-hand bat
