Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,batting_style,bowling_arm,bowling_style
JA Morkel,V Sehwag,3,3,0,0,1,0,3,1,Left-hand bat,Right-arm,offbreak
JA Morkel,Shivam Sharma,2,0,1,0,0,0,0,1,Left-hand bat,Right-arm,offbreak
JA Morkel,TL Suman,0,2,0,0,0,0,0,0,Left-hand bat,Right-arm,offbreak
JA Morkel,MS Gony,0,2,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,RJ Harris,1,1,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
JA Morkel,DJ Bravo,5,7,2,0,3,0,1,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,GD McGrath,0,0,0,0,1,0,0,1,Left-hand bat,Right-arm,fast-medium
JA Morkel,Azhar Mahmood,1,2,0,0,1,0,1,2,Left-hand bat,Right-arm,fast-medium
JA Morkel,A Singh,0,1,1,0,0,0,0,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,GJ Maxwell,3,4,2,0,0,0,3,0,Left-hand bat,Right-arm,offbreak
JA Morkel,AA Jhunjhunwala,6,3,4,0,0,0,1,1,Left-hand bat,Right-arm,offbreak
JA Morkel,B Kumar,1,2,1,0,0,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,S Aravind,0,1,1,0,0,0,2,0,Left-hand bat,Left-arm,medium-fast
JA Morkel,KW Richardson,2,1,1,0,0,0,0,0,Left-hand bat,Right-arm,fast-medium
JA Morkel,Iqbal Abdulla,5,2,0,0,0,0,0,0,Left-hand bat,Left-arm,slow
JA Morkel,SK Warne,12,9,4,0,6,0,8,0,Left-hand bat,Right-arm,legbreak
JA Morkel,MR Marsh,1,2,0,0,0,0,1,0,Left-hand bat,Right-arm,medium
JA Morkel,Mohammad Asif,0,1,0,0,1,0,0,0,Left-hand bat,Right-arm,fast-medium
JA Morkel,A Symonds,1,5,0,0,0,0,1,0,Left-hand bat,Right-arm,medium
JA Morkel,UT Yadav,3,3,0,0,1,0,0,2,Left-hand bat,Right-arm,fast-medium
JA Morkel,RP Singh,5,9,1,1,2,0,1,1,Left-hand bat,Left-arm,fast-medium
JA Morkel,SB Styris,5,2,0,0,0,0,1,0,Left-hand bat,Right-arm,medium
JA Morkel,PJ Sangwan,5,4,0,0,1,0,2,1,Left-hand bat,Left-arm,medium
JA Morkel,JJ van der Wath,0,1,0,0,0,0,0,1,Left-hand bat,Right-arm,medium-fast
JA Morkel,J Theron,1,4,0,0,0,0,0,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,B Lee,2,4,1,0,0,0,0,0,Left-hand bat,Right-arm,fast
JA Morkel,I Sharma,2,1,0,0,0,0,3,0,Left-hand bat,Right-arm,fast-medium
JA Morkel,DP Nannes,0,1,0,0,0,0,0,1,Left-hand bat,Left-arm,fast
JA Morkel,JP Faulkner,0,1,0,0,0,0,0,0,Left-hand bat,Left-arm,fast-medium
JA Morkel,PP Ojha,4,9,2,0,0,0,1,2,Left-hand bat,Left-arm,slow
JA Morkel,TM Dilshan,0,0,0,0,0,0,0,1,Left-hand bat,Right-arm,offbreak
JA Morkel,JH Kallis,6,6,1,0,2,0,1,1,Left-hand bat,Right-arm,fast-medium
JA Morkel,MM Patel,2,10,2,0,1,0,2,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,CH Gayle,3,2,0,0,0,0,0,1,Left-hand bat,Right-arm,offbreak
JA Morkel,SP Narine,0,2,4,0,0,0,2,0,Left-hand bat,Right-arm,offbreak
JA Morkel,BAW Mendis,0,2,0,0,0,0,0,0,Left-hand bat,Right-arm,legbreak
JA Morkel,P Negi,0,1,0,0,0,0,1,1,Left-hand bat,Left-arm,slow
JA Morkel,Z Khan,4,6,1,0,2,0,0,0,Left-hand bat,Left-arm,fast-medium
JA Morkel,L Balaji,5,7,1,0,0,0,0,1,Left-hand bat,Right-arm,medium-fast
JA Morkel,DS Kulkarni,4,1,0,0,1,0,0,1,Left-hand bat,Right-arm,medium
JA Morkel,Pankaj Singh,2,5,0,0,2,0,1,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,SL Malinga,0,0,1,0,0,0,0,0,Left-hand bat,Right-arm,fast
JA Morkel,A Kumble,2,5,1,0,0,0,1,0,Left-hand bat,Right-arm,legbreak
JA Morkel,FH Edwards,1,0,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
JA Morkel,R Dhawan,1,3,0,0,0,0,0,0,Left-hand bat,Right-arm,medium-fast
