Name,Runs,Wickets,Balls,Economy,Average,Zeros,Ones,Twos,Threes,Fours,Sixes
LA Carseldine,5,1,7,4.2857142857,5,4,1,0,0,1,0
JA Morkel,2234,95,1794,7.4715719064,23.5157894737,666,585,124,7,261,56
A Uniyal,64,3,38,10.1052631579,21.3333333333,8,14,4,0,6,3
T Thushara,151,10,144,6.2916666667,15.1,58,47,10,0,15,4
V Sehwag,233,6,138,10.1304347826,38.8333333333,40,53,4,0,19,16
CR Brathwaite,181,9,143,7.5944055944,20.1111111111,37,65,11,0,16,5
Shivam Sharma,165,4,114,8.6842105263,41.25,33,47,11,0,9,10
BE Hendricks,213,11,152,8.4078947368,19.3636363636,49,47,13,2,23,7
DJ Muthuswami,96,4,82,7.0243902439,24,43,13,5,1,13,3
AC Thomas,394,16,327,7.2293577982,24.625,127,104,26,1,41,11
TL Suman,194,7,152,7.6578947368,27.7142857143,39,74,14,0,8,10
C Ganapathy,13,0,6,13,13,1,3,0,0,1,1
JDP Oram,340,13,244,8.3606557377,26.1538461538,81,87,14,0,34,14
AB McDonald,257,14,188,8.2021276596,18.3571428571,42,91,10,0,20,11
Kuldeep Yadav,93,7,74,7.5405405405,13.2857142857,26,23,7,0,5,6
MJ McClenaghan,757,35,620,7.3258064516,21.6285714286,252,190,30,3,81,29
A Nel,31,1,18,10.3333333333,31,6,5,1,0,3,2
KP Appanna,277,11,222,7.4864864865,25.1818181818,66,98,15,1,20,11
N Rana,3,0,6,3,3,3,3,0,0,0,0
MS Gony,1200,39,901,7.9911209767,30.7692307692,352,282,45,4,129,50
NM Coulter-Nile,475,23,408,6.9852941176,20.652173913,177,115,19,2,58,14
BA Bhatt,389,13,303,7.702970297,29.9230769231,91,133,16,2,35,13
CJ McKay,60,1,42,8.5714285714,60,13,17,1,1,8,1
AR Patel,1120,46,957,7.0219435737,24.347826087,325,397,61,3,79,46
RJ Harris,996,47,865,6.9086705202,21.1914893617,377,234,59,2,119,27
DJ Bravo,2645,137,2104,7.5427756654,19.3065693431,667,807,164,4,226,99
GD McGrath,352,14,329,6.4194528875,25.1428571429,152,100,10,1,41,10
Azhar Mahmood,677,30,549,7.3989071038,22.5666666667,189,205,32,1,73,18
V Shankar,19,0,6,19,19,1,1,1,0,1,2
AM Rahane,5,1,6,5,5,1,3,1,0,0,0
J Botha,781,27,709,6.6093088858,28.9259259259,256,294,43,4,60,24
A Singh,583,30,473,7.3953488372,19.4333333333,181,140,39,1,65,17
S Nadeem,1173,33,1023,6.8797653959,35.5454545455,336,469,61,6,72,46
P Parameswaran,219,9,159,8.2641509434,24.3333333333,61,48,7,0,23,10
M de Lange,157,6,116,8.1206896552,26.1666666667,42,38,4,1,21,4
GJ Maxwell,336,5,214,9.4205607477,67.2,62,90,13,0,22,22
AA Jhunjhunwala,124,1,82,9.0731707317,124,26,29,10,0,10,5
B Kumar,1855,88,1711,6.5049678551,21.0795454545,726,538,102,6,205,45
SPD Smith,5,0,2,15,5,0,1,0,0,1,0
YA Abdulla,294,15,222,7.9459459459,19.6,89,58,15,0,32,13
RE van der Merwe,485,25,455,6.3956043956,19.4,147,201,38,2,25,17
KW Richardson,430,19,324,7.962962963,22.6315789474,119,105,22,1,35,23
Iqbal Abdulla,1007,43,891,6.7811447811,23.4186046512,311,371,46,3,83,33
AG Murtaza,303,12,269,6.7583643123,25.25,100,111,10,0,22,14
RJ Peterson,70,3,48,8.75,23.3333333333,18,14,3,0,5,5
BW Hilfenhaus,461,23,390,7.0923076923,20.0434782609,177,100,20,1,48,21
SB Wagh,131,5,108,7.2777777778,26.2,51,23,6,0,21,2
SK Warne,1406,60,1221,6.9090909091,23.4333333333,411,502,99,2,91,56
UT Yadav,2187,89,1715,7.6513119534,24.5730337079,626,569,109,6,257,59
BAW Mendis,277,9,244,6.8114754098,30.7777777778,74,118,16,1,16,10
Umar Gul,165,14,153,6.4705882353,11.7857142857,60,47,10,0,17,5
Mustafizur Rahman,410,19,375,6.56,21.5789473684,134,139,40,1,32,10
A Symonds,655,23,540,7.2777777778,28.4782608696,197,206,36,1,44,33
L Ablish,72,5,45,9.6,14.4,9,16,3,0,11,1
RP Singh,2230,100,1872,7.1474358974,22.3,781,546,115,6,254,70
CL White,81,1,46,10.5652173913,81,11,21,2,0,5,6
B Geeves,90,2,49,11.0204081633,45,14,14,1,0,17,1
MC Henriques,951,39,755,7.557615894,24.3846153846,237,308,47,3,93,28
R Rampaul,276,15,265,6.2490566038,18.4,125,70,18,2,23,12
