batsman,non striker,batting,fielding
K Goel,KC Sangakkara,Kings XI Punjab,Mumbai Indians
VRV Singh,B Lee,Kings XI Punjab,Mumbai Indians
L Ronchi,RV Uthappa,Mumbai Indians,Kings XI Punjab
SPD Smith,AM Rahane,Rising Pune Supergiants,Royal Challengers Bangalore
AB de Villiers,V Kohli,Royal Challengers Bangalore,Chennai Super Kings
NV Ojha,AA Jhunjhunwala,Rajasthan Royals,Kolkata Knight Riders
AD Mathews,OA Shah,Kolkata Knight Riders,Rajasthan Royals
SE Marsh,PC Valthaty,Kings XI Punjab,Chennai Super Kings
F du Plessis,BB McCullum,Chennai Super Kings,Rajasthan Royals
Kamran Akmal,SA Asnodkar,Rajasthan Royals,Mumbai Indians
M Kaif,SR Watson,Rajasthan Royals,Mumbai Indians
VVS Laxman,DPMD Jayawardene,Kochi Tuskers Kerala,Rajasthan Royals
RP Singh,M Muralitharan,Kochi Tuskers Kerala,Rajasthan Royals
R Dravid,SR Watson,Rajasthan Royals,Kochi Tuskers Kerala
RG Sharma,AP Tare,Mumbai Indians,Delhi Daredevils
CM Gautam,KA Pollard,Mumbai Indians,Delhi Daredevils
V Kohli,JH Kallis,Royal Challengers Bangalore,Mumbai Indians
MEK Hussey,MS Dhoni,Chennai Super Kings,Rajasthan Royals
TG Southee,STR Binny,Rajasthan Royals,Mumbai Indians
YK Pathan,DR Martyn,Rajasthan Royals,Royal Challengers Bangalore
MM Patel,SK Trivedi,Rajasthan Royals,Royal Challengers Bangalore
RV Uthappa,MR Marsh,Pune Warriors,Rajasthan Royals
S Nadeem,IK Pathan,Delhi Daredevils,Sunrisers Hyderabad
S Dhawan,CL White,Deccan Chargers,Chennai Super Kings
CL White,DT Christian,Deccan Chargers,Chennai Super Kings
S Dhawan,DA Warner,Sunrisers Hyderabad,Kings XI Punjab
DJ Hussey,Mashrafe Mortaza,Kolkata Knight Riders,Deccan Chargers
TL Suman,A Symonds,Deccan Chargers,Kolkata Knight Riders
A Symonds,RG Sharma,Deccan Chargers,Kolkata Knight Riders
P Kumar,D du Preez,Royal Challengers Bangalore,Rajasthan Royals
LA Carseldine,NV Ojha,Rajasthan Royals,Royal Challengers Bangalore
MD Mishra,A Symonds,Deccan Chargers,Delhi Daredevils
M Manhas,PD Collingwood,Delhi Daredevils,Deccan Chargers
V Kohli,CH Gayle,Royal Challengers Bangalore,Pune Warriors
SMSM Senanayake,SP Narine,Kolkata Knight Riders,Kings XI Punjab
PA Patel,GJ Bailey,Chennai Super Kings,Kolkata Knight Riders
GJ Bailey,SK Raina,Chennai Super Kings,Kolkata Knight Riders
DJ Hussey,BJ Hodge,Kolkata Knight Riders,Chennai Super Kings
Gurkeerat Singh,M Vijay,Kings XI Punjab,Gujarat Lions
Ishan Kishan,JP Faulkner,Gujarat Lions,Kings XI Punjab
KK Nair,SPD Smith,Rajasthan Royals,Royal Challengers Bangalore
BB McCullum,MK Tiwary,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,V Sehwag,Delhi Daredevils,Kolkata Knight Riders
R Bhatia,KD Karthik,Delhi Daredevils,Kolkata Knight Riders
TM Dilshan,A Mishra,Delhi Daredevils,Deccan Chargers
A Mishra,PJ Sangwan,Delhi Daredevils,Deccan Chargers
DR Smith,SR Tendulkar,Mumbai Indians,Kings XI Punjab
SR Tendulkar,RV Uthappa,Mumbai Indians,Kings XI Punjab
SD Chitnis,CRD Fernando,Mumbai Indians,Kings XI Punjab
A Nehra,CRD Fernando,Mumbai Indians,Kings XI Punjab
VS Yeligati,CRD Fernando,Mumbai Indians,Kings XI Punjab
ML Hayden,SK Raina,Chennai Super Kings,Royal Challengers Bangalore
DW Steyn,R Dravid,Royal Challengers Bangalore,Chennai Super Kings
Q de Kock,M Vijay,Delhi Daredevils,Chennai Super Kings
SK Warne,Sohail Tanvir,Rajasthan Royals,Kolkata Knight Riders
BJ Hodge,SC Ganguly,Kolkata Knight Riders,Rajasthan Royals
LR Shukla,DJ Hussey,Kolkata Knight Riders,Rajasthan Royals
Umar Gul,I Sharma,Kolkata Knight Riders,Rajasthan Royals
Sunny Singh,AM Nayar,Kings XI Punjab,Pune Warriors
MD Mishra,RG Sharma,Deccan Chargers,Royal Challengers Bangalore
KP Appanna,A Kumble,Royal Challengers Bangalore,Deccan Chargers
SR Tendulkar,DR Smith,Mumbai Indians,Chennai Super Kings
P Kumar,R Dravid,Royal Challengers Bangalore,Deccan Chargers
G Gambhir,JH Kallis,Kolkata Knight Riders,Sunrisers Hyderabad
CL White,GH Vihari,Sunrisers Hyderabad,Kolkata Knight Riders
A Mishra,GH Vihari,Sunrisers Hyderabad,Royal Challengers Bangalore
S Badrinath,JA Morkel,Chennai Super Kings,Kolkata Knight Riders
SB Joshi,P Kumar,Royal Challengers Bangalore,Rajasthan Royals
P Kumar,Z Khan,Royal Challengers Bangalore,Rajasthan Royals
Mandeep Singh,DA Miller,Kings XI Punjab,Delhi Daredevils
P Kumar,P Awana,Kings XI Punjab,Chennai Super Kings
I Sharma,AB Agarkar,Kolkata Knight Riders,Rajasthan Royals
PA Patel,LMP Simmons,Mumbai Indians,Chennai Super Kings
DPMD Jayawardene,BJ Hodge,Kochi Tuskers Kerala,Kolkata Knight Riders
EJG Morgan,YK Pathan,Kolkata Knight Riders,Kochi Tuskers Kerala
B Lee,MV Boucher,Kolkata Knight Riders,Kochi Tuskers Kerala
EJG Morgan,JH Kallis,Kolkata Knight Riders,Sunrisers Hyderabad
JH Kallis,YK Pathan,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,TM Dilshan,Delhi Daredevils,Kings XI Punjab
DPMD Jayawardene,LRPL Taylor,Delhi Daredevils,Kolkata Knight Riders
M Morkel,S Nadeem,Delhi Daredevils,Kolkata Knight Riders
VR Aaron,S Nadeem,Delhi Daredevils,Kolkata Knight Riders
P Dogra,AA Jhunjhunwala,Rajasthan Royals,Chennai Super Kings
SK Warne,S Narwal,Rajasthan Royals,Chennai Super Kings
M Vijay,SK Raina,Chennai Super Kings,Rajasthan Royals
MS Dhoni,S Badrinath,Chennai Super Kings,Rajasthan Royals
FY Fazal,SK Warne,Rajasthan Royals,Kolkata Knight Riders
V Sehwag,M Vohra,Kings XI Punjab,Mumbai Indians
WP Saha,GJ Bailey,Kings XI Punjab,Mumbai Indians
S Badrinath,S Anirudha,Chennai Super Kings,Deccan Chargers
KV Sharma,IK Pathan,Sunrisers Hyderabad,Kolkata Knight Riders
RV Uthappa,MK Pandey,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,MS Bisla,Kolkata Knight Riders,Delhi Daredevils
M Vijay,DA Miller,Kings XI Punjab,Sunrisers Hyderabad
JD Ryder,SC Ganguly,Pune Warriors,Kings XI Punjab
AB Dinda,A Nehra,Pune Warriors,Kings XI Punjab
L Ronchi,JP Duminy,Mumbai Indians,Delhi Daredevils
SR Tendulkar,PR Shah,Mumbai Indians,Delhi Daredevils
DS Kulkarni,SL Malinga,Mumbai Indians,Delhi Daredevils
PA Patel,NLTC Perera,Sunrisers Hyderabad,Kings XI Punjab
R Sathish,LA Pomersbach,Kings XI Punjab,Sunrisers Hyderabad
Harmeet Singh,LA Pomersbach,Kings XI Punjab,Sunrisers Hyderabad
A Ashish Reddy,KV Sharma,Sunrisers Hyderabad,Delhi Daredevils
AT Rayudu,CJ Anderson,Mumbai Indians,Rajasthan Royals
PA Patel,ML Hayden,Chennai Super Kings,Delhi Daredevils
EJG Morgan,MK Tiwary,Kolkata Knight Riders,Royal Challengers Bangalore
R Vinay Kumar,RV Gomez,Kochi Tuskers Kerala,Pune Warriors
S Sreesanth,RV Gomez,Kochi Tuskers Kerala,Pune Warriors
WD Parnell,MD Mishra,Pune Warriors,Kochi Tuskers Kerala
Y Venugopal Rao,TL Suman,Deccan Chargers,Delhi Daredevils
DA Warner,AB de Villiers,Delhi Daredevils,Deccan Chargers
S Ladda,UT Yadav,Delhi Daredevils,Deccan Chargers
MA Starc,S Rana,Royal Challengers Bangalore,Sunrisers Hyderabad
S Dhawan,DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore
D Salunkhe,SK Warne,Rajasthan Royals,Deccan Chargers
BB McCullum,G Gambhir,Kolkata Knight Riders,Chennai Super Kings
SK Raina,F du Plessis,Chennai Super Kings,Kolkata Knight Riders
RR Powar,KC Sangakkara,Kings XI Punjab,Mumbai Indians
IK Pathan,RS Bopara,Kings XI Punjab,Royal Challengers Bangalore
MK Pandey,KP Pietersen,Royal Challengers Bangalore,Kings XI Punjab
AA Noffke,P Kumar,Royal Challengers Bangalore,Kolkata Knight Riders
V Kohli,TM Dilshan,Royal Challengers Bangalore,Mumbai Indians
R Vinay Kumar,MA Agarwal,Royal Challengers Bangalore,Mumbai Indians
HH Gibbs,RG Sharma,Mumbai Indians,Royal Challengers Bangalore
Y Venugopal Rao,RG Sharma,Deccan Chargers,Kings XI Punjab
RR Sarwan,SE Marsh,Kings XI Punjab,Deccan Chargers
PA Patel,BJ Hodge,Kochi Tuskers Kerala,Royal Challengers Bangalore
RP Singh,RR Powar,Kochi Tuskers Kerala,Royal Challengers Bangalore
DJ Bravo,MEK Hussey,Chennai Super Kings,Delhi Daredevils
BMAJ Mendis,KM Jadhav,Delhi Daredevils,Chennai Super Kings
DA Warner,V Sehwag,Delhi Daredevils,Pune Warriors
DA Warner,NV Ojha,Sunrisers Hyderabad,Kings XI Punjab
M Vohra,GJ Maxwell,Kings XI Punjab,Sunrisers Hyderabad
STR Binny,SR Watson,Rajasthan Royals,Mumbai Indians
AT Rayudu,R McLaren,Mumbai Indians,Kolkata Knight Riders
OA Shah,BJ Hodge,Kochi Tuskers Kerala,Chennai Super Kings
DA Warner,KL Rahul,Sunrisers Hyderabad,Rajasthan Royals
IK Pathan,DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings
KA Pollard,RG Sharma,Mumbai Indians,Royal Challengers Bangalore
Yuvraj Singh,RR Rossouw,Royal Challengers Bangalore,Mumbai Indians
K Goel,IK Pathan,Kings XI Punjab,Kolkata Knight Riders
DH Yagnik,BJ Hodge,Rajasthan Royals,Kolkata Knight Riders
SL Malinga,Harbhajan Singh,Mumbai Indians,Deccan Chargers
M Vijay,DJ Bravo,Chennai Super Kings,Delhi Daredevils
Y Venugopal Rao,P Negi,Delhi Daredevils,Chennai Super Kings
