op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
AC Gilchrist,HH Gibbs,Deccan Chargers,101,Royal Challengers Bangalore,Deccan Chargers
JH Kallis,W Jaffer,Royal Challengers Bangalore,20,Royal Challengers Bangalore,Deccan Chargers
NV Ojha,SR Watson,Rajasthan Royals,59,Kolkata Knight Riders,Rajasthan Royals
BB McCullum,SC Ganguly,Kolkata Knight Riders,21,Kolkata Knight Riders,Rajasthan Royals
BB McCullum,DR Smith,Chennai Super Kings,12,Chennai Super Kings,Royal Challengers Bangalore
MS Bisla,RR Rossouw,Royal Challengers Bangalore,31,Chennai Super Kings,Royal Challengers Bangalore
JR Hopes,SE Marsh,Kings XI Punjab,24,Kolkata Knight Riders,Kings XI Punjab
SC Ganguly,Salman Butt,Kolkata Knight Riders,45,Kolkata Knight Riders,Kings XI Punjab
FY Fazal,R Dravid,Rajasthan Royals,18,Kochi Tuskers Kerala,Rajasthan Royals
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,26,Kochi Tuskers Kerala,Rajasthan Royals
PA Patel,SP Fleming,Chennai Super Kings,0,Rajasthan Royals,Chennai Super Kings
GC Smith,SA Asnodkar,Rajasthan Royals,78,Rajasthan Royals,Chennai Super Kings
PA Patel,S Dhawan,Deccan Chargers,7,Mumbai Indians,Deccan Chargers
RE Levi,TL Suman,Mumbai Indians,7,Mumbai Indians,Deccan Chargers
M Vijay,ML Hayden,Chennai Super Kings,9,Delhi Daredevils,Chennai Super Kings
DA Warner,V Sehwag,Delhi Daredevils,1,Delhi Daredevils,Chennai Super Kings
M Vijay,V Sehwag,Kings XI Punjab,0,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,RV Uthappa,Kolkata Knight Riders,16,Kolkata Knight Riders,Kings XI Punjab
BB McCullum,SC Ganguly,Kolkata Knight Riders,7,Delhi Daredevils,Kolkata Knight Riders
DA Warner,G Gambhir,Delhi Daredevils,53,Delhi Daredevils,Kolkata Knight Riders
JR Hopes,SE Marsh,Kings XI Punjab,8,Chennai Super Kings,Kings XI Punjab
PA Patel,S Vidyut,Chennai Super Kings,14,Chennai Super Kings,Kings XI Punjab
BB McCullum,DR Smith,Gujarat Lions,2,Sunrisers Hyderabad,Gujarat Lions
DA Warner,S Dhawan,Sunrisers Hyderabad,26,Sunrisers Hyderabad,Gujarat Lions
Mandeep Singh,SE Marsh,Kings XI Punjab,24,Delhi Daredevils,Kings XI Punjab
DA Warner,V Sehwag,Delhi Daredevils,21,Delhi Daredevils,Kings XI Punjab
