op_partner_name,team,partnership,winner,loser
AC Gilchrist-HH Gibbs,team_Deccan Chargers,101,winner_Royal Challengers Bangalore,loser_Deccan Chargers
JH Kallis-W Jaffer,team_Royal Challengers Bangalore,20,winner_Royal Challengers Bangalore,loser_Deccan Chargers
NV Ojha-SR Watson,team_Rajasthan Royals,59,winner_Kolkata Knight Riders,loser_Rajasthan Royals
BB McCullum-SC Ganguly,team_Kolkata Knight Riders,21,winner_Kolkata Knight Riders,loser_Rajasthan Royals
BB McCullum-DR Smith,team_Chennai Super Kings,12,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
MS Bisla-RR Rossouw,team_Royal Challengers Bangalore,31,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
JR Hopes-SE Marsh,team_Kings XI Punjab,24,winner_Kolkata Knight Riders,loser_Kings XI Punjab
SC Ganguly-Salman Butt,team_Kolkata Knight Riders,45,winner_Kolkata Knight Riders,loser_Kings XI Punjab
FY Fazal-R Dravid,team_Rajasthan Royals,18,winner_Kochi Tuskers Kerala,loser_Rajasthan Royals
BB McCullum-DPMD Jayawardene,team_Kochi Tuskers Kerala,26,winner_Kochi Tuskers Kerala,loser_Rajasthan Royals
PA Patel-SP Fleming,team_Chennai Super Kings,0,winner_Rajasthan Royals,loser_Chennai Super Kings
GC Smith-SA Asnodkar,team_Rajasthan Royals,78,winner_Rajasthan Royals,loser_Chennai Super Kings
PA Patel-S Dhawan,team_Deccan Chargers,7,winner_Mumbai Indians,loser_Deccan Chargers
RE Levi-TL Suman,team_Mumbai Indians,7,winner_Mumbai Indians,loser_Deccan Chargers
M Vijay-ML Hayden,team_Chennai Super Kings,9,winner_Delhi Daredevils,loser_Chennai Super Kings
DA Warner-V Sehwag,team_Delhi Daredevils,1,winner_Delhi Daredevils,loser_Chennai Super Kings
M Vijay-V Sehwag,team_Kings XI Punjab,0,winner_Kolkata Knight Riders,loser_Kings XI Punjab
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,16,winner_Kolkata Knight Riders,loser_Kings XI Punjab
BB McCullum-SC Ganguly,team_Kolkata Knight Riders,7,winner_Delhi Daredevils,loser_Kolkata Knight Riders
DA Warner-G Gambhir,team_Delhi Daredevils,53,winner_Delhi Daredevils,loser_Kolkata Knight Riders
JR Hopes-SE Marsh,team_Kings XI Punjab,8,winner_Chennai Super Kings,loser_Kings XI Punjab
PA Patel-S Vidyut,team_Chennai Super Kings,14,winner_Chennai Super Kings,loser_Kings XI Punjab
BB McCullum-DR Smith,team_Gujarat Lions,2,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner-S Dhawan,team_Sunrisers Hyderabad,26,winner_Sunrisers Hyderabad,loser_Gujarat Lions
Mandeep Singh-SE Marsh,team_Kings XI Punjab,24,winner_Delhi Daredevils,loser_Kings XI Punjab
DA Warner-V Sehwag,team_Delhi Daredevils,21,winner_Delhi Daredevils,loser_Kings XI Punjab
SR Tendulkar-TL Suman,team_Mumbai Indians,7,winner_Rajasthan Royals,loser_Mumbai Indians
R Dravid-SR Watson,team_Rajasthan Royals,134,winner_Rajasthan Royals,loser_Mumbai Indians
AP Tare-GJ Maxwell,team_Mumbai Indians,25,winner_Mumbai Indians,loser_Rajasthan Royals
AM Rahane-R Dravid,team_Rajasthan Royals,5,winner_Mumbai Indians,loser_Rajasthan Royals
BB McCullum-DR Smith,team_Chennai Super Kings,12,winner_Chennai Super Kings,loser_Rajasthan Royals
AM Rahane-SR Watson,team_Rajasthan Royals,37,winner_Chennai Super Kings,loser_Rajasthan Royals
BB McCullum-DR Smith,team_Chennai Super Kings,50,winner_Chennai Super Kings,loser_Kings XI Punjab
M Vijay-V Sehwag,team_Kings XI Punjab,4,winner_Chennai Super Kings,loser_Kings XI Punjab
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,31,winner_Mumbai Indians,loser_Sunrisers Hyderabad
CM Gautam-LMP Simmons,team_Mumbai Indians,2,winner_Mumbai Indians,loser_Sunrisers Hyderabad
AM Rahane-F du Plessis,team_Rising Pune Supergiants,10,winner_Kings XI Punjab,loser_Rising Pune Supergiants
M Vijay-M Vohra,team_Kings XI Punjab,97,winner_Kings XI Punjab,loser_Rising Pune Supergiants
DA Warner-G Gambhir,team_Delhi Daredevils,7,winner_Delhi Daredevils,loser_Deccan Chargers
AC Gilchrist-TL Suman,team_Deccan Chargers,33,winner_Delhi Daredevils,loser_Deccan Chargers
AM Rahane-SR Watson,team_Rajasthan Royals,52,winner_Rajasthan Royals,loser_Delhi Daredevils
MA Agarwal-SS Iyer,team_Delhi Daredevils,20,winner_Rajasthan Royals,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,43,winner_Draw,loser_Draw
CH Gayle-KL Rahul,team_Royal Challengers Bangalore,20,winner_Draw,loser_Draw
AB de Villiers-CH Gayle,team_Royal Challengers Bangalore,15,winner_Draw,loser_Draw
BJ Rohrer-DA Warner,team_Delhi Daredevils,0,winner_Draw,loser_Draw
PA Patel-S Dhawan,team_Deccan Chargers,37,winner_Mumbai Indians,loser_Deccan Chargers
RE Levi-SR Tendulkar,team_Mumbai Indians,0,winner_Mumbai Indians,loser_Deccan Chargers
Mandeep Singh-V Sehwag,team_Kings XI Punjab,33,winner_Kings XI Punjab,loser_Chennai Super Kings
BB McCullum-DR Smith,team_Chennai Super Kings,5,winner_Kings XI Punjab,loser_Chennai Super Kings
G Gambhir-MS Bisla,team_Kolkata Knight Riders,4,winner_Delhi Daredevils,loser_Kolkata Knight Riders
DPMD Jayawardene-V Sehwag,team_Delhi Daredevils,23,winner_Delhi Daredevils,loser_Kolkata Knight Riders
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,3,winner_Royal Challengers Bangalore,loser_Mumbai Indians
RT Ponting-SR Tendulkar,team_Mumbai Indians,52,winner_Royal Challengers Bangalore,loser_Mumbai Indians
