player1,player2,team,partnership
HH Gibbs,AC Gilchrist,Deccan Chargers,101
JH Kallis,W Jaffer,Royal Challengers Bangalore,20
SR Watson,NV Ojha,Rajasthan Royals,59
BB McCullum,SC Ganguly,Kolkata Knight Riders,21
BB McCullum,DR Smith,Chennai Super Kings,12
MS Bisla,RR Rossouw,Royal Challengers Bangalore,31
JR Hopes,SE Marsh,Kings XI Punjab,24
Salman Butt,SC Ganguly,Kolkata Knight Riders,45
FY Fazal,R Dravid,Rajasthan Royals,18
DPMD Jayawardene,BB McCullum,Kochi Tuskers Kerala,26
PA Patel,SP Fleming,Chennai Super Kings,0
SA Asnodkar,GC Smith,Rajasthan Royals,78
PA Patel,S Dhawan,Deccan Chargers,7
TL Suman,RE Levi,Mumbai Indians,7
ML Hayden,M Vijay,Chennai Super Kings,9
DA Warner,V Sehwag,Delhi Daredevils,1
M Vijay,V Sehwag,Kings XI Punjab,0
RV Uthappa,G Gambhir,Kolkata Knight Riders,16
BB McCullum,SC Ganguly,Kolkata Knight Riders,7
G Gambhir,DA Warner,Delhi Daredevils,53
JR Hopes,SE Marsh,Kings XI Punjab,8
S Vidyut,PA Patel,Chennai Super Kings,14
DR Smith,BB McCullum,Gujarat Lions,2
DA Warner,S Dhawan,Sunrisers Hyderabad,26
SE Marsh,Mandeep Singh,Kings XI Punjab,24
DA Warner,V Sehwag,Delhi Daredevils,21
TL Suman,SR Tendulkar,Mumbai Indians,7
R Dravid,SR Watson,Rajasthan Royals,134
GJ Maxwell,AP Tare,Mumbai Indians,25
R Dravid,AM Rahane,Rajasthan Royals,5
DR Smith,BB McCullum,Chennai Super Kings,12
AM Rahane,SR Watson,Rajasthan Royals,37
DR Smith,BB McCullum,Chennai Super Kings,50
V Sehwag,M Vijay,Kings XI Punjab,4
S Dhawan,AJ Finch,Sunrisers Hyderabad,31
CM Gautam,LMP Simmons,Mumbai Indians,2
AM Rahane,F du Plessis,Rising Pune Supergiants,10
M Vohra,M Vijay,Kings XI Punjab,97
DA Warner,G Gambhir,Delhi Daredevils,7
TL Suman,AC Gilchrist,Deccan Chargers,33
SR Watson,AM Rahane,Rajasthan Royals,52
MA Agarwal,SS Iyer,Delhi Daredevils,20
DA Warner,V Sehwag,Delhi Daredevils,43
KL Rahul,CH Gayle,Royal Challengers Bangalore,20
AB de Villiers,CH Gayle,Royal Challengers Bangalore,15
DA Warner,BJ Rohrer,Delhi Daredevils,0
PA Patel,S Dhawan,Deccan Chargers,37
RE Levi,SR Tendulkar,Mumbai Indians,0
Mandeep Singh,V Sehwag,Kings XI Punjab,33
DR Smith,BB McCullum,Chennai Super Kings,5
MS Bisla,G Gambhir,Kolkata Knight Riders,4
V Sehwag,DPMD Jayawardene,Delhi Daredevils,23
TM Dilshan,CH Gayle,Royal Challengers Bangalore,3
SR Tendulkar,RT Ponting,Mumbai Indians,52
DA Warner,V Sehwag,Delhi Daredevils,11
DJ Jacobs,SR Tendulkar,Mumbai Indians,1
PA Patel,ML Hayden,Chennai Super Kings,0
AC Gilchrist,HH Gibbs,Deccan Chargers,67
V Sehwag,G Gambhir,Delhi Daredevils,45
S Vidyut,SP Fleming,Chennai Super Kings,62
B Chipli,W Jaffer,Royal Challengers Bangalore,13
AC Gilchrist,VVS Laxman,Deccan Chargers,22
V Sehwag,M Vijay,Kings XI Punjab,60
RG Sharma,AJ Finch,Mumbai Indians,0
L Ronchi,ST Jayasuriya,Mumbai Indians,15
VVS Laxman,AC Gilchrist,Deccan Chargers,155
KK Nair,AM Rahane,Rajasthan Royals,13
MS Bisla,G Gambhir,Kolkata Knight Riders,21
SA Yadav,Shakib Al Hasan,Kolkata Knight Riders,1
SPD Smith,SR Watson,Rajasthan Royals,11
Mandeep Singh,AC Gilchrist,Kings XI Punjab,15
Q de Kock,PA Reddy,Sunrisers Hyderabad,0
SR Tendulkar,DR Smith,Mumbai Indians,29
TM Dilshan,CH Gayle,Royal Challengers Bangalore,35
G Gambhir,RV Uthappa,Kolkata Knight Riders,15
DR Smith,BB McCullum,Gujarat Lions,42
JH Kallis,G Gambhir,Kolkata Knight Riders,60
CA Pujara,CH Gayle,Royal Challengers Bangalore,7
S Dhawan,DA Warner,Sunrisers Hyderabad,10
M Vohra,M Vijay,Kings XI Punjab,10
GJ Bailey,PA Patel,Chennai Super Kings,59
SC Ganguly,BB McCullum,Kolkata Knight Riders,34
PA Patel,S Dhawan,Deccan Chargers,0
MK Pandey,MJ Clarke,Pune Warriors,0
AJ Finch,RV Uthappa,Pune Warriors,96
S Anirudha,M Vijay,Chennai Super Kings,0
BB McCullum,MN van Wyk,Kolkata Knight Riders,58
DA Warner,G Gambhir,Delhi Daredevils,60
F du Plessis,M Vijay,Chennai Super Kings,0
NV Ojha,V Sehwag,Delhi Daredevils,32
S Dhawan,DA Warner,Sunrisers Hyderabad,18
RV Uthappa,G Gambhir,Kolkata Knight Riders,92
RV Uthappa,G Gambhir,Kolkata Knight Riders,14
CH Gayle,V Kohli,Royal Challengers Bangalore,71
MEK Hussey,M Vijay,Chennai Super Kings,6
NV Ojha,DA Warner,Delhi Daredevils,30
DA Warner,NV Ojha,Delhi Daredevils,24
BB McCullum,G Gambhir,Kolkata Knight Riders,6
HH Gibbs,SR Tendulkar,Mumbai Indians,26
PA Patel,ML Hayden,Chennai Super Kings,34
ST Jayasuriya,L Ronchi,Mumbai Indians,9
JH Kallis,SP Goswami,Royal Challengers Bangalore,7
PA Patel,SP Fleming,Chennai Super Kings,60
BB McCullum,G Gambhir,Kolkata Knight Riders,48
DA Warner,V Sehwag,Delhi Daredevils,24
S Dhawan,S Sohal,Deccan Chargers,14
V Sehwag,DA Warner,Delhi Daredevils,28
M Vijay,ML Hayden,Chennai Super Kings,44
S Dhawan,SR Tendulkar,Mumbai Indians,1
CH Gayle,V Kohli,Royal Challengers Bangalore,41
SR Watson,AM Rahane,Rajasthan Royals,14
DA Warner,S Dhawan,Sunrisers Hyderabad,67
MA Agarwal,Q de Kock,Delhi Daredevils,20
MA Agarwal,CH Gayle,Royal Challengers Bangalore,53
M Vijay,F du Plessis,Chennai Super Kings,56
S Dhawan,DA Warner,Sunrisers Hyderabad,56
