 player1,player2,partner-name,team,partnership,winner,looser
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,63,Sunrisers Hyderabad,Royal Challengers Bangalore
DA Warner,MC Henriques,DA Warner- MC Henriques,Sunrisers Hyderabad,34,Sunrisers Hyderabad,Royal Challengers Bangalore
DA Warner,Yuvraj Singh,DA Warner- Yuvraj Singh,Sunrisers Hyderabad,28,Sunrisers Hyderabad,Royal Challengers Bangalore
DJ Hooda,Yuvraj Singh,DJ Hooda- Yuvraj Singh,Sunrisers Hyderabad,22,Sunrisers Hyderabad,Royal Challengers Bangalore
BCJ Cutting,Yuvraj Singh,BCJ Cutting- Yuvraj Singh,Sunrisers Hyderabad,1,Sunrisers Hyderabad,Royal Challengers Bangalore
BCJ Cutting,NV Ojha,BCJ Cutting- NV Ojha,Sunrisers Hyderabad,10,Sunrisers Hyderabad,Royal Challengers Bangalore
BCJ Cutting,Bipul Sharma,BCJ Cutting- Bipul Sharma,Sunrisers Hyderabad,16,Sunrisers Hyderabad,Royal Challengers Bangalore
B Kumar,BCJ Cutting,B Kumar- BCJ Cutting,Sunrisers Hyderabad,34,Sunrisers Hyderabad,Royal Challengers Bangalore
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,148,Sunrisers Hyderabad,Royal Challengers Bangalore
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,26,Sunrisers Hyderabad,Royal Challengers Bangalore
AB de Villiers,KL Rahul,AB de Villiers- KL Rahul,Royal Challengers Bangalore,8,Sunrisers Hyderabad,Royal Challengers Bangalore
KL Rahul,SR Watson,KL Rahul- SR Watson,Royal Challengers Bangalore,12,Sunrisers Hyderabad,Royal Challengers Bangalore
SR Watson,Sachin Baby,SR Watson- Sachin Baby,Royal Challengers Bangalore,4,Sunrisers Hyderabad,Royal Challengers Bangalore
STR Binny,Sachin Baby,STR Binny- Sachin Baby,Royal Challengers Bangalore,16,Sunrisers Hyderabad,Royal Challengers Bangalore
CJ Jordan,Sachin Baby,CJ Jordan- Sachin Baby,Royal Challengers Bangalore,14,Sunrisers Hyderabad,Royal Challengers Bangalore
Iqbal Abdulla,Sachin Baby,Iqbal Abdulla- Sachin Baby,Royal Challengers Bangalore,6,Sunrisers Hyderabad,Royal Challengers Bangalore
BB McCullum,ER Dwivedi,BB McCullum- ER Dwivedi,Gujarat Lions,13,Sunrisers Hyderabad,Gujarat Lions
BB McCullum,SK Raina,BB McCullum- SK Raina,Gujarat Lions,12,Sunrisers Hyderabad,Gujarat Lions
BB McCullum,KD Karthik,BB McCullum- KD Karthik,Gujarat Lions,44,Sunrisers Hyderabad,Gujarat Lions
