partner_name,team,partnership,winner,loser
DA Warner- S Dhawan,team_Sunrisers Hyderabad,63,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
DA Warner- MC Henriques,team_Sunrisers Hyderabad,34,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
DA Warner- Yuvraj Singh,team_Sunrisers Hyderabad,28,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
DJ Hooda- Yuvraj Singh,team_Sunrisers Hyderabad,22,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
BCJ Cutting- Yuvraj Singh,team_Sunrisers Hyderabad,1,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
BCJ Cutting- NV Ojha,team_Sunrisers Hyderabad,10,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
BCJ Cutting- Bipul Sharma,team_Sunrisers Hyderabad,16,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
B Kumar- BCJ Cutting,team_Sunrisers Hyderabad,34,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
CH Gayle- V Kohli,team_Royal Challengers Bangalore,148,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
AB de Villiers- V Kohli,team_Royal Challengers Bangalore,26,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
AB de Villiers- KL Rahul,team_Royal Challengers Bangalore,8,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
KL Rahul- SR Watson,team_Royal Challengers Bangalore,12,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
SR Watson- Sachin Baby,team_Royal Challengers Bangalore,4,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
STR Binny- Sachin Baby,team_Royal Challengers Bangalore,16,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
CJ Jordan- Sachin Baby,team_Royal Challengers Bangalore,14,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
Iqbal Abdulla- Sachin Baby,team_Royal Challengers Bangalore,6,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
BB McCullum- ER Dwivedi,team_Gujarat Lions,13,winner_Sunrisers Hyderabad,loser_Gujarat Lions
BB McCullum- SK Raina,team_Gujarat Lions,12,winner_Sunrisers Hyderabad,loser_Gujarat Lions
BB McCullum- KD Karthik,team_Gujarat Lions,44,winner_Sunrisers Hyderabad,loser_Gujarat Lions
AJ Finch- BB McCullum,team_Gujarat Lions,18,winner_Sunrisers Hyderabad,loser_Gujarat Lions
AJ Finch- DR Smith,team_Gujarat Lions,2,winner_Sunrisers Hyderabad,loser_Gujarat Lions
AJ Finch- RA Jadeja,team_Gujarat Lions,51,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DJ Bravo- RA Jadeja,team_Gujarat Lions,24,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DS Kulkarni- RA Jadeja,team_Gujarat Lions,4,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner- S Dhawan,team_Sunrisers Hyderabad,10,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner- MC Henriques,team_Sunrisers Hyderabad,27,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner- Yuvraj Singh,team_Sunrisers Hyderabad,28,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner- DJ Hooda,team_Sunrisers Hyderabad,14,winner_Sunrisers Hyderabad,loser_Gujarat Lions
BCJ Cutting- DA Warner,team_Sunrisers Hyderabad,9,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner- NV Ojha,team_Sunrisers Hyderabad,33,winner_Sunrisers Hyderabad,loser_Gujarat Lions
Bipul Sharma- DA Warner,team_Sunrisers Hyderabad,46,winner_Sunrisers Hyderabad,loser_Gujarat Lions
DA Warner- S Dhawan,team_Sunrisers Hyderabad,58,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
DA Warner- MC Henriques,team_Sunrisers Hyderabad,59,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
DA Warner- Yuvraj Singh,team_Sunrisers Hyderabad,0,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
DJ Hooda- Yuvraj Singh,team_Sunrisers Hyderabad,49,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
BCJ Cutting- Yuvraj Singh,team_Sunrisers Hyderabad,4,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
NV Ojha- Yuvraj Singh,team_Sunrisers Hyderabad,21,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
B Kumar- NV Ojha,team_Sunrisers Hyderabad,2,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
B Kumar- Bipul Sharma,team_Sunrisers Hyderabad,14,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
BB Sran- Bipul Sharma,team_Sunrisers Hyderabad,1,winner_Sunrisers Hyderabad,loser_Kolkata Knight Riders
