Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
SC Ganguly,,"India,",44 years 115 days,Left-hand bat,,5 ft 11 in,"July 8, 1972, Calcutta (now Kolkata), Bengal ",Brother - Snehasish C Ganguly,St Xavier's College,,Sourav Chandidas Ganguly,Pune Warriors,Right-arm,medium
BB McCullum,Wicketkeeper batsman,"New Zealand,",35 years 34 days,Right-hand bat,,,"September 27, 1981, Dunedin, Otago ","Father - SJ McCullum,",,,Brendon Barrie McCullum,Gujarat Lions,Right-arm,medium
RT Ponting,Top-order batsman,"Australia,",41 years 317 days,Right-hand bat,,1.78 m,"December 19, 1974, Launceston, Tasmania ",Uncle - GD Campbell,"Mowbray Primary; Brooks Senior High School, Launceston",Punter,Ricky Thomas Ponting,Mumbai Indians,Right-arm,medium
DJ Hussey,Allrounder,"Australia,",39 years 108 days,Right-hand bat,,1.80 m,"July 15, 1977, Mt Lawley, Perth, Western Australia ",Brother - MEK Hussey,,Huss,David John Hussey,Chennai Super Kings,Right-arm,offbreak
Mohammad Hafeez,Allrounder,"Pakistan,",36 years 14 days,Right-hand bat,,,"October 17, 1980, Sargodha, Punjab ",,,,Mohammad Hafeez,Kolkata Knight Riders,Right-arm,offbreak
R Dravid,Top-order batsman,"India,",43 years 294 days,Right-hand bat,,,"January 11, 1973, Indore, Madhya Pradesh ",,St. Joseph's Boys' High School,The Wall,Rahul Sharad Dravid,Rajasthan Royals,Right-arm,offbreak
W Jaffer,,"India,",38 years 258 days,Right-hand bat,,,"February 16, 1978, Bombay (now Mumbai), Maharashtra ",Nephew - Armaan Jaffer,,,Wasim Jaffer,Royal Challengers Bangalore,Right-arm,offbreak
V Kohli,Middle-order batsman,"India,",27 years 361 days,Right-hand bat,,,"November 5, 1988, Delhi ",,,,Virat Kohli,Royal Challengers Bangalore,Right-arm,medium
JH Kallis,Allrounder,"South Africa,",41 years 15 days,Right-hand bat,,,"October 16, 1975, Pinelands, Cape Town, Cape Province ",,,,Jacques Henry Kallis,Kolkata Knight Riders,Right-arm,fast-medium
CL White,Middle-order batsman,"Australia,",33 years 74 days,Right-hand bat,,1.87 m,"August 18, 1983, Bairnsdale, Victoria ",,,"Whitey, Bear",Cameron Leon White,Sunrisers Hyderabad,Right-arm,legbreak
MV Boucher,Wicketkeeper batsman,"South Africa,",39 years 333 days,Right-hand bat,,,"December 3, 1976, East London, Cape Province ",,,,Mark Verdon Boucher,Kolkata Knight Riders,Right-arm,medium
B Akhil,Bowler,"Karnataka,",39 years 24 days,Right-hand bat,,,"October 7, 1977, Bangalore, Karnataka ",,,,Balachandra Akhil,Kochi Tuskers Kerala,Right-arm,medium-fast
AA Noffke,Allrounder,"Australia,",39 years 184 days,Right-hand bat,,1.90 m,"April 30, 1977, Nambour, Queensland ",,,Noffers,Ashley Allan Noffke,Royal Challengers Bangalore,Right-arm,fast-medium
P Kumar,Bowler,"India,",30 years 29 days,Right-hand bat,,,"October 2, 1986, Meerut, Uttar Pradesh ",,,,Praveenkumar Sakat Singh,Gujarat Lions,Right-arm,medium
Z Khan,Bowler,"India,",38 years 24 days,Right-hand bat,,,"October 7, 1978, Shrirampur, Maharashtra ",,,,Zaheer Khan,Delhi Daredevils,Left-arm,fast-medium
SB Joshi,,"India,",46 years 147 days,Left-hand bat,,,"June 6, 1970, Gadag, Karnataka ",,,,Sunil Bandacharya Joshi,Royal Challengers Bangalore,Left-arm,slow
AB Dinda,Bowler,"India,",32 years 220 days,Right-hand bat,,,"March 25, 1984, Medinipur, Calcutta (now Kolkata) ",,,,Ashok Bhimchandra Dinda,Royal Challengers Bangalore,Right-arm,medium-fast
I Sharma,Bowler,"India,",28 years 59 days,Right-hand bat,,,"September 2, 1988, Delhi ",,,,Ishant Sharma,Rising Pune Supergiants,Right-arm,fast-medium
AB Agarkar,Bowler,"India,",38 years 332 days,Right-hand bat,,,"December 4, 1977, Bombay (now Mumbai), Maharashtra ",,,,Ajit Bhalchandra Agarkar,Delhi Daredevils,Right-arm,fast
LR Shukla,Allrounder,"India,",35 years 178 days,Right-hand bat,,,"May 6, 1981, Howrah (now Haora), Bengal ",,,,Laxmi Ratan Shukla,Delhi Daredevils,Right-arm,medium
PA Patel,Wicketkeeper batsman,"India,",31 years 236 days,Left-hand bat,,,"March 9, 1985, Ahmedabad, Gujarat ",,,,Parthiv Ajay Patel,Mumbai Indians,Left-arm,
ML Hayden,Opening batsman,"Australia,",45 years 2 days,Left-hand bat,,1.88 m,"October 29, 1971, Kingaroy, Queensland ",,,Haydos,Matthew Lawrence Hayden,Chennai Super Kings,Right-arm,medium
