Batting Position,Runs Scored,Balls Faced,Total wickets at that position,Strike Rate,Average
1,31012,24489,1092,126.6364490179,28.3992673993
2,31536,24697,1068,127.6916224643,29.5280898876
3,28702,22609,1019,126.9494449113,28.1668302257
4,24632,19739,920,124.7884897918,26.7739130435
5,20580,15981,769,128.7779237845,26.7620286086
6,13427,10508,634,127.7788351732,21.1782334385
7,8103,6478,470,125.0849027478,17.2404255319
8,4529,3743,350,120.9991985039,12.94
9,2177,2043,226,106.5589818894,9.6327433628
10,1001,1111,125,90.099009901,8.008
11,310,468,54,66.2393162393,5.7407407407
