Team Name,Year,Over,Total Runs Scored,Total Wickets taken,Total Bowls bowled,Run rate,Wicket rate
Kings XI Punjab,2013,4,117,2,97,7.2371134021,0.1237113402
Kings XI Punjab,2014,9,130,2,104,7.5,0.1153846154
Kings XI Punjab,2013,17,136,7,91,8.967032967,0.4615384615
Rajasthan Royals,2013,6,146,2,111,7.8918918919,0.1081081081
Rajasthan Royals,2013,17,163,5,111,8.8108108108,0.2702702703
Chennai Super Kings,2011,20,148,11,80,11.1,0.825
Mumbai Indians,2012,14,147,5,104,8.4807692308,0.2884615385
Kolkata Knight Riders,2016,2,134,1,95,8.4631578947,0.0631578947
Mumbai Indians,2009,6,100,7,81,7.4074074074,0.5185185185
Rajasthan Royals,2010,15,103,3,86,7.1860465116,0.2093023256
Kolkata Knight Riders,2013,4,91,1,96,5.6875,0.0625
Delhi Daredevils,2009,15,94,2,89,6.3370786517,0.1348314607
Sunrisers Hyderabad,2013,11,101,6,103,5.8834951456,0.3495145631
Deccan Chargers,2012,17,130,5,90,8.6666666667,0.3333333333
Royal Challengers Bangalore,2010,10,107,7,98,6.5510204082,0.4285714286
Royal Challengers Bangalore,2013,10,111,1,96,6.9375,0.0625
Royal Challengers Bangalore,2010,20,98,7,57,10.3157894737,0.7368421053
Chennai Super Kings,2013,4,167,4,111,9.027027027,0.2162162162
Sunrisers Hyderabad,2014,5,121,4,87,8.3448275862,0.275862069
Kings XI Punjab,2015,7,69,4,85,4.8705882353,0.2823529412
Kings XI Punjab,2013,10,128,6,99,7.7575757576,0.3636363636
Rajasthan Royals,2012,7,94,3,100,5.64,0.18
Kings XI Punjab,2014,6,160,7,110,8.7272727273,0.3818181818
Kolkata Knight Riders,2011,20,76,11,55,8.2909090909,1.2
Royal Challengers Bangalore,2014,6,98,6,85,6.9176470588,0.4235294118
Chennai Super Kings,2010,13,125,3,102,7.3529411765,0.1764705882
Kochi Tuskers Kerala,2011,9,88,3,85,6.2117647059,0.2117647059
Mumbai Indians,2014,5,154,4,94,9.829787234,0.2553191489
Kolkata Knight Riders,2012,13,113,7,98,6.9183673469,0.4285714286
Delhi Daredevils,2010,16,107,2,86,7.4651162791,0.1395348837
Gujarat Lions,2016,14,128,4,95,8.0842105263,0.2526315789
Deccan Chargers,2012,16,149,3,93,9.6129032258,0.1935483871
Deccan Chargers,2011,18,107,7,86,7.4651162791,0.488372093
Mumbai Indians,2010,15,143,3,98,8.7551020408,0.1836734694
Pune Warriors,2011,3,106,2,79,8.0506329114,0.1518987342
Rising Pune Supergiants,2016,2,98,3,89,6.606741573,0.202247191
Royal Challengers Bangalore,2011,17,105,10,86,7.3255813953,0.6976744186
Chennai Super Kings,2012,1,69,4,109,3.7981651376,0.2201834862
Sunrisers Hyderabad,2015,8,90,1,87,6.2068965517,0.0689655172
Kings XI Punjab,2012,15,162,5,98,9.9183673469,0.306122449
Rajasthan Royals,2015,8,83,3,80,6.225,0.225
Kolkata Knight Riders,2011,9,90,3,95,5.6842105263,0.1894736842
Kolkata Knight Riders,2010,17,128,2,84,9.1428571429,0.1428571429
Royal Challengers Bangalore,2015,7,116,1,85,8.1882352941,0.0705882353
Mumbai Indians,2016,2,78,8,89,5.2584269663,0.5393258427
Sunrisers Hyderabad,2016,4,149,6,102,8.7647058824,0.3529411765
Kings XI Punjab,2016,8,96,5,85,6.7764705882,0.3529411765
Royal Challengers Bangalore,2016,8,129,4,100,7.74,0.24
Kings XI Punjab,2015,1,97,7,96,6.0625,0.4375
Pune Warriors,2013,19,137,11,95,8.6526315789,0.6947368421
Delhi Daredevils,2011,1,82,3,88,5.5909090909,0.2045454545
Deccan Chargers,2011,15,113,6,87,7.7931034483,0.4137931034
Deccan Chargers,2010,19,120,10,86,8.3720930233,0.6976744186
Mumbai Indians,2011,14,105,1,91,6.9230769231,0.0659340659
Royal Challengers Bangalore,2011,12,121,3,100,7.26,0.18
Royal Challengers Bangalore,2008,18,101,7,73,8.301369863,0.5753424658
Chennai Super Kings,2015,2,117,4,108,6.5,0.2222222222
Kings XI Punjab,2011,16,117,10,88,7.9772727273,0.6818181818
Rajasthan Royals,2014,1,90,2,94,5.7446808511,0.1276595745
Kolkata Knight Riders,2010,12,97,3,87,6.6896551724,0.2068965517
Kolkata Knight Riders,2009,18,101,4,66,9.1818181818,0.3636363636
Royal Challengers Bangalore,2012,8,108,2,92,7.0434782609,0.1304347826
Delhi Daredevils,2012,13,146,4,105,8.3428571429,0.2285714286
Royal Challengers Bangalore,2016,17,162,4,91,10.6813186813,0.2637362637
Kings XI Punjab,2014,4,159,4,104,9.1730769231,0.2307692308
Pune Warriors,2013,12,87,3,96,5.4375,0.1875
Rajasthan Royals,2013,11,154,2,112,8.25,0.1071428571
Deccan Chargers,2010,14,113,5,96,7.0625,0.3125
Kolkata Knight Riders,2016,9,108,3,91,7.1208791209,0.1978021978
Mumbai Indians,2008,13,108,5,81,8,0.3703703704
Rajasthan Royals,2010,6,108,3,87,7.4482758621,0.2068965517
Royal Challengers Bangalore,2008,11,109,5,85,7.6941176471,0.3529411765
Chennai Super Kings,2014,7,90,5,101,5.3465346535,0.297029703
Sunrisers Hyderabad,2013,2,108,9,107,6.0560747664,0.5046728972
Kings XI Punjab,2010,13,102,2,86,7.1162790698,0.1395348837
Rajasthan Royals,2009,2,49,8,83,3.5421686747,0.578313253
Kolkata Knight Riders,2009,11,67,4,72,5.5833333333,0.3333333333
Royal Challengers Bangalore,2013,1,115,0,111,6.2162162162,0
Delhi Daredevils,2013,16,112,4,97,6.9278350515,0.2474226804
Chennai Super Kings,2013,9,125,1,105,7.1428571429,0.0571428571
Kings XI Punjab,2013,3,117,8,99,7.0909090909,0.4848484848
Rajasthan Royals,2013,20,142,10,77,11.0649350649,0.7792207792
Rajasthan Royals,2012,10,147,1,100,8.82,0.06
Chennai Super Kings,2010,4,110,6,100,6.6,0.36
Deccan Chargers,2009,13,143,4,101,8.495049505,0.2376237624
Mumbai Indians,2009,12,93,3,80,6.975,0.225
Rising Pune Supergiants,2016,16,87,3,68,7.6764705882,0.2647058824
Kolkata Knight Riders,2012,20,123,8,72,10.25,0.6666666667
Royal Challengers Bangalore,2009,6,103,4,98,6.306122449,0.2448979592
Chennai Super Kings,2009,8,83,1,87,5.724137931,0.0689655172
Gujarat Lions,2016,5,148,3,99,8.9696969697,0.1818181818
Deccan Chargers,2012,7,76,3,91,5.010989011,0.1978021978
Mumbai Indians,2010,8,94,4,101,5.5841584158,0.2376237624
Kings XI Punjab,2009,14,94,1,80,7.05,0.075
Rajasthan Royals,2008,3,117,4,100,7.02,0.24
Kolkata Knight Riders,2008,14,100,5,80,7.5,0.375
Rising Pune Supergiants,2016,9,111,1,87,7.6551724138,0.0689655172
Delhi Daredevils,2014,15,88,4,85,6.2117647059,0.2823529412
Delhi Daredevils,2015,19,113,7,74,9.1621621622,0.5675675676
Chennai Super Kings,2013,18,166,7,97,10.2680412371,0.4329896907
Chennai Super Kings,2012,12,126,3,112,6.75,0.1607142857
Sunrisers Hyderabad,2014,19,170,10,86,11.8604651163,0.6976744186
Kings XI Punjab,2012,6,128,5,97,7.9175257732,0.3092783505
Rajasthan Royals,2012,17,176,4,94,11.2340425532,0.2553191489
Rajasthan Royals,2015,9,115,2,81,8.5185185185,0.1481481481
Kolkata Knight Riders,2011,2,108,5,96,6.75,0.3125
Mumbai Indians,2016,11,93,6,84,6.6428571429,0.4285714286
Sunrisers Hyderabad,2016,13,129,4,102,7.5882352941,0.2352941176
Deccan Chargers,2008,4,80,4,87,5.5172413793,0.275862069
Mumbai Indians,2014,11,114,0,92,7.4347826087,0
Delhi Daredevils,2016,6,74,4,86,5.1627906977,0.2790697674
Chennai Super Kings,2008,5,126,1,98,7.7142857143,0.0612244898
Gujarat Lions,2016,20,88,11,61,8.6557377049,1.0819672131
Deccan Chargers,2011,8,109,4,87,7.5172413793,0.275862069
Mumbai Indians,2011,5,103,3,97,6.3711340206,0.1855670103
Kings XI Punjab,2008,3,122,2,93,7.8709677419,0.1290322581
Rajasthan Royals,2011,4,75,3,81,5.5555555556,0.2222222222
Kolkata Knight Riders,2015,13,121,1,69,10.5217391304,0.0869565217
Royal Challengers Bangalore,2011,3,159,3,102,9.3529411765,0.1764705882
Delhi Daredevils,2015,10,110,2,85,7.7647058824,0.1411764706
Delhi Daredevils,2008,20,55,4,35,9.4285714286,0.6857142857
Chennai Super Kings,2012,19,222,8,100,13.32,0.48
Chennai Super Kings,2015,11,112,2,104,6.4615384615,0.1153846154
Sunrisers Hyderabad,2015,18,119,8,78,9.1538461538,0.6153846154
Mumbai Indians,2013,3,138,2,118,7.0169491525,0.1016949153
Kings XI Punjab,2011,5,116,4,90,7.7333333333,0.2666666667
Rajasthan Royals,2015,18,128,9,82,9.3658536585,0.6585365854
Rajasthan Royals,2014,16,107,6,79,8.1265822785,0.4556962025
Kolkata Knight Riders,2010,3,101,8,90,6.7333333333,0.5333333333
Delhi Daredevils,2012,6,159,6,110,8.6727272727,0.3272727273
Mumbai Indians,2016,20,78,7,49,9.5510204082,0.8571428571
Kings XI Punjab,2015,15,106,3,76,8.3684210526,0.2368421053
Pune Warriors,2013,1,101,3,100,6.06,0.18
Chennai Super Kings,2011,6,122,4,99,7.3939393939,0.2424242424
Deccan Chargers,2010,5,123,10,102,7.2352941176,0.5882352941
Mumbai Indians,2008,6,125,4,84,8.9285714286,0.2857142857
Kolkata Knight Riders,2014,16,145,8,91,9.5604395604,0.5274725275
Royal Challengers Bangalore,2008,4,105,3,85,7.4117647059,0.2117647059
Delhi Daredevils,2008,9,118,2,87,8.1379310345,0.1379310345
Delhi Daredevils,2009,17,142,7,90,9.4666666667,0.4666666667
Chennai Super Kings,2015,20,121,10,85,8.5411764706,0.7058823529
Chennai Super Kings,2014,14,142,1,97,8.7835051546,0.0618556701
Kings XI Punjab,2010,8,109,3,87,7.5172413793,0.2068965517
Rajasthan Royals,2009,15,102,4,82,7.4634146341,0.2926829268
Kolkata Knight Riders,2009,4,103,2,81,7.6296296296,0.1481481481
