Index,Year,Stadium,Batting_first_wins,Batting_second_wins
0,2008,Dr DY Patil Sports Academy,1.0,3.0
0,2008,Eden Gardens,2.0,5.0
0,2008,Feroz Shah Kotla,2.0,4.0
0,2008,M Chinnaswamy Stadium,3.0,4.0
0,2008,MA Chidambaram Stadium  Chepauk,4.0,3.0
0,2008,Punjab Cricket Association Stadium  Mohali,4.0,3.0
0,2008,Rajiv Gandhi International Stadium  Uppal,2.0,5.0
0,2008,Sawai Mansingh Stadium,2.0,5.0
0,2008,Wankhede Stadium,2.0,4.0
0,2009,Buffalo Park,2.0,1.0
0,2009,De Beers Diamond Oval,1.0,2.0
0,2009,Kingsmead,8.0,7.0
0,2009,New Wanderers Stadium,3.0,5.0
0,2009,Newlands,4.0,2.0
0,2009,OUTsurance Oval,1.0,1.0
0,2009,St George's Park,3.0,4.0
0,2009,SuperSport Park,4.0,8.0
0,2010,Barabati Stadium,2.0,0.0
0,2010,Brabourne Stadium,3.0,4.0
0,2010,Dr DY Patil Sports Academy,5.0,1.0
0,2010,Eden Gardens,3.0,4.0
0,2010,Feroz Shah Kotla,5.0,2.0
0,2010,Himachal Pradesh Cricket Association Stadium,0.0,2.0
0,2010,M Chinnaswamy Stadium,3.0,4.0
0,2010,MA Chidambaram Stadium  Chepauk,3.0,3.0
0,2010,Punjab Cricket Association Stadium  Mohali,2.0,3.0
0,2010,Sardar Patel Stadium  Motera,2.0,2.0
0,2010,Sawai Mansingh Stadium,1.0,2.0
0,2010,Vidarbha Cricket Association Stadium  Jamtha,2.0,1.0
0,2011,Dr DY Patil Sports Academy,1.0,6.0
0,2011,Eden Gardens,2.0,5.0
0,2011,Feroz Shah Kotla,3.0,3.0
0,2011,Himachal Pradesh Cricket Association Stadium,3.0,0.0
0,2011,Holkar Cricket Stadium,0.0,2.0
0,2011,M Chinnaswamy Stadium,2.0,4.0
0,2011,MA Chidambaram Stadium  Chepauk,8.0,1.0
0,2011,Nehru Stadium,3.0,2.0
0,2011,Punjab Cricket Association Stadium  Mohali,2.0,2.0
0,2011,Rajiv Gandhi International Stadium  Uppal,3.0,4.0
0,2011,Sawai Mansingh Stadium,1.0,6.0
0,2011,Wankhede Stadium,4.0,5.0
0,2012,Barabati Stadium,1.0,1.0
0,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1.0,1.0
0,2012,Eden Gardens,4.0,3.0
0,2012,Feroz Shah Kotla,4.0,4.0
0,2012,Himachal Pradesh Cricket Association Stadium,0.0,2.0
0,2012,M Chinnaswamy Stadium,4.0,4.0
0,2012,MA Chidambaram Stadium  Chepauk,4.0,6.0
0,2012,Punjab Cricket Association Stadium  Mohali,1.0,5.0
0,2012,Rajiv Gandhi International Stadium  Uppal,2.0,2.0
0,2012,Sawai Mansingh Stadium,4.0,4.0
0,2012,Subrata Roy Sahara Stadium,6.0,3.0
0,2012,Wankhede Stadium,3.0,5.0
0,2013,Eden Gardens,2.0,6.0
0,2013,Feroz Shah Kotla,4.0,4.0
0,2013,Himachal Pradesh Cricket Association Stadium,2.0,0.0
0,2013,JSCA International Stadium Complex,1.0,1.0
0,2013,M Chinnaswamy Stadium,3.0,4.0
0,2013,MA Chidambaram Stadium  Chepauk,5.0,3.0
0,2013,Punjab Cricket Association Stadium  Mohali,2.0,4.0
0,2013,Rajiv Gandhi International Stadium  Uppal,3.0,4.0
0,2013,Sawai Mansingh Stadium,2.0,6.0
0,2013,Shaheed Veer Narayan Singh International Stadium,1.0,1.0
0,2013,Subrata Roy Sahara Stadium,5.0,3.0
0,2013,Wankhede Stadium,7.0,1.0
0,2014,Barabati Stadium,1.0,2.0
0,2014,Brabourne Stadium,0.0,1.0
0,2014,Eden Gardens,2.0,2.0
0,2014,Feroz Shah Kotla,0.0,5.0
0,2014,JSCA International Stadium Complex,1.0,3.0
0,2014,M Chinnaswamy Stadium,2.0,4.0
0,2014,Punjab Cricket Association Stadium  Mohali,1.0,2.0
0,2014,Rajiv Gandhi International Stadium  Uppal,0.0,4.0
0,2014,Sardar Patel Stadium  Motera,4.0,0.0
0,2014,Sheikh Zayed Stadium,3.0,3.0
0,2014,Wankhede Stadium,3.0,3.0
0,2015,Brabourne Stadium,3.0,0.0
0,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,1.0
0,2015,Eden Gardens,3.0,4.0
0,2015,Feroz Shah Kotla,1.0,4.0
0,2015,JSCA International Stadium Complex,0.0,1.0
0,2015,M Chinnaswamy Stadium,3.0,2.0
0,2015,MA Chidambaram Stadium  Chepauk,6.0,1.0
0,2015,Maharashtra Cricket Association Stadium,2.0,2.0
0,2015,Punjab Cricket Association Stadium  Mohali,3.0,1.0
0,2015,Rajiv Gandhi International Stadium  Uppal,2.0,2.0
0,2015,Sardar Patel Stadium  Motera,0.0,3.0
0,2015,Shaheed Veer Narayan Singh International Stadium,1.0,1.0
0,2015,Wankhede Stadium,6.0,2.0
0,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3.0,3.0
0,2016,Eden Gardens,2.0,5.0
0,2016,Feroz Shah Kotla,4.0,3.0
0,2016,Green Park,0.0,2.0
0,2016,M Chinnaswamy Stadium,4.0,5.0
0,2016,Maharashtra Cricket Association Stadium,1.0,3.0
0,2016,Punjab Cricket Association IS Bindra Stadium  Mohali,3.0,4.0
0,2016,Rajiv Gandhi International Stadium  Uppal,1.0,6.0
0,2016,Saurashtra Cricket Association Stadium,1.0,4.0
0,2016,Shaheed Veer Narayan Singh International Stadium,0.0,2.0
0,2016,Wankhede Stadium,0.0,4.0
