id,name,role,batting_style,bowls,nationality,dob,debut,info,current_team
1,MS Dhoni,Wicketkeeper batsman,Right-handed,Right-arm medium,Indian,1981/07/07,2008,None,Rising Pune Supergiants
7,Murali Vijay,Batsman,Right-handed,Right-arm off-spin,Indian,1984/04/01,2009,None,Kings XI Punjab
8,Ravichandran Ashwin,Bowling All-rounder,Right-handed,Right-arm off-spin,Indian,1986/09/17,2009,None,Rising Pune Supergiants
9,Ravindra Jadeja,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1988/12/06,2008,None,Gujarat Lions
10,Shadab Jakati,Bowler,Left-handed,Left-arm orthodox spin,Indian,1980/11/27,2009,None,Gujarat Lions
14,Suresh Raina,Batsman,Left-handed,Right-arm off-spin,Indian,1986/11/27,2008,None,Gujarat Lions
16,Wriddhiman Saha,Wicketkeeper batsman,Right-handed,None,Indian,1984/10/24,2008,None,Kings XI Punjab
19,George Bailey,Batsman,Right-handed,Right-arm medium,Australian,1982/09/07,2009,None,Rising Pune Supergiants
24,Francois du Plessis,All-rounder,Right-handed,Right-arm leg spin,South African,1984/07/13,2012,None,Rising Pune Supergiants
25,Dwayne Bravo,All-rounder,Right-handed,Right-arm medium fast,West Indian,1983/10/07,2008,None,Gujarat Lions
26,Albie Morkel,All-rounder,Left-handed,Right-arm medium fast,South African,1981/06/10,2008,None,Rising Pune Supergiants
30,Amit Mishra,Bowler,Right-handed,Right-arm leg spin,Indian,1982/11/24,2008,None,Delhi Daredevils
32,Ankit Sharma,Bowling All-rounder,Left-handed,Left-arm orthodox spin,Indian,1991/04/20,2012,None,Rising Pune Supergiants
34,Ashish Reddy,Bowler,Right-handed,Right-arm medium,Indian,1981/02/24,2012,None,Sunrisers Hyderabad
38,Ishant Sharma,Bowler,Right-handed,Right-arm medium fast,Indian,1988/09/02,2008,None,Rising Pune Supergiants
41,Shikhar Dhawan,Batsman,Left-handed,None,Indian,1985/12/05,2008,None,Sunrisers Hyderabad
44,Parthiv Patel,Wicketkeeper batsman,Left-handed,None,Indian,1985/03/09,2008,None,Mumbai Indians
48,Ashok Dinda,Bowler,Right-handed,Right-arm medium fast,Indian,1984/03/25,2008,None,Rising Pune Supergiants
49,Irfan Pathan,All-rounder,Left-handed,Left-arm medium fast,Indian,1984/10/27,2008,None,Rising Pune Supergiants
