"Kings XI Punjab","2013","4","117","2","97","7.237113402061856","0.12371134020618557"
"Kings XI Punjab","2014","9","130","2","104","7.5","0.11538461538461539"
"Kings XI Punjab","2013","17","136","7","91","8.967032967032967","0.46153846153846156"
"Rajasthan Royals","2013","6","146","2","111","7.891891891891892","0.10810810810810811"
"Rajasthan Royals","2013","17","163","5","111","8.81081081081081","0.2702702702702703"
"Chennai Super Kings","2011","20","148","11","80","11.1","0.825"
"Mumbai Indians","2012","14","147","5","104","8.48076923076923","0.28846153846153844"
"Kolkata Knight Riders","2016","2","134","1","95","8.463157894736842","0.06315789473684211"
"Mumbai Indians","2009","6","100","7","81","7.407407407407407","0.5185185185185185"
"Rajasthan Royals","2010","15","103","3","86","7.186046511627907","0.20930232558139536"
"Kolkata Knight Riders","2013","4","91","1","96","5.6875","0.0625"
"Delhi Daredevils","2009","15","94","2","89","6.337078651685394","0.1348314606741573"
"Sunrisers Hyderabad","2013","11","101","6","103","5.883495145631068","0.34951456310679613"
"Deccan Chargers","2012","17","130","5","90","8.666666666666666","0.3333333333333333"
"Royal Challengers Bangalore","2010","10","107","7","98","6.551020408163265","0.42857142857142855"
"Royal Challengers Bangalore","2013","10","111","1","96","6.9375","0.0625"
"Royal Challengers Bangalore","2010","20","98","7","57","10.31578947368421","0.7368421052631579"
"Chennai Super Kings","2013","4","167","4","111","9.027027027027026","0.21621621621621623"
"Sunrisers Hyderabad","2014","5","121","4","87","8.344827586206897","0.27586206896551724"
"Kings XI Punjab","2015","7","69","4","85","4.870588235294117","0.2823529411764706"
"Kings XI Punjab","2013","10","128","6","99","7.757575757575758","0.36363636363636365"
"Rajasthan Royals","2012","7","94","3","100","5.64","0.18"
"Kings XI Punjab","2014","6","160","7","110","8.727272727272727","0.38181818181818183"
"Kolkata Knight Riders","2011","20","76","11","55","8.290909090909091","1.2"
"Royal Challengers Bangalore","2014","6","98","6","85","6.91764705882353","0.4235294117647059"
"Chennai Super Kings","2010","13","125","3","102","7.352941176470588","0.17647058823529413"
"Kochi Tuskers Kerala","2011","9","88","3","85","6.211764705882353","0.21176470588235294"
"Mumbai Indians","2014","5","154","4","94","9.829787234042554","0.2553191489361702"
"Kolkata Knight Riders","2012","13","113","7","98","6.918367346938775","0.42857142857142855"
"Delhi Daredevils","2010","16","107","2","86","7.465116279069767","0.13953488372093023"
"Gujarat Lions","2016","14","128","4","95","8.08421052631579","0.25263157894736843"
"Deccan Chargers","2012","16","149","3","93","9.612903225806452","0.1935483870967742"
"Deccan Chargers","2011","18","107","7","86","7.465116279069767","0.4883720930232558"
"Mumbai Indians","2010","15","143","3","98","8.755102040816327","0.1836734693877551"
"Pune Warriors","2011","3","106","2","79","8.050632911392405","0.1518987341772152"
"Rising Pune Supergiants","2016","2","98","3","89","6.606741573033708","0.20224719101123595"
"Royal Challengers Bangalore","2011","17","105","10","86","7.325581395348837","0.6976744186046512"
"Chennai Super Kings","2012","1","69","4","109","3.7981651376146788","0.22018348623853212"
"Sunrisers Hyderabad","2015","8","90","1","87","6.206896551724138","0.06896551724137931"
"Kings XI Punjab","2012","15","162","5","98","9.918367346938776","0.30612244897959184"
"Rajasthan Royals","2015","8","83","3","80","6.225","0.225"
"Kolkata Knight Riders","2011","9","90","3","95","5.684210526315789","0.18947368421052632"
"Kolkata Knight Riders","2010","17","128","2","84","9.142857142857142","0.14285714285714285"
"Royal Challengers Bangalore","2015","7","116","1","85","8.188235294117646","0.07058823529411765"
"Mumbai Indians","2016","2","78","8","89","5.258426966292135","0.5393258426966292"
"Sunrisers Hyderabad","2016","4","149","6","102","8.764705882352942","0.35294117647058826"
"Kings XI Punjab","2016","8","96","5","85","6.776470588235294","0.35294117647058826"
"Royal Challengers Bangalore","2016","8","129","4","100","7.74","0.24"
"Kings XI Punjab","2015","1","97","7","96","6.0625","0.4375"
"Pune Warriors","2013","19","137","11","95","8.652631578947368","0.6947368421052632"
"Delhi Daredevils","2011","1","82","3","88","5.590909090909091","0.20454545454545456"
"Deccan Chargers","2011","15","113","6","87","7.793103448275862","0.41379310344827586"
"Deccan Chargers","2010","19","120","10","86","8.372093023255815","0.6976744186046512"
"Mumbai Indians","2011","14","105","1","91","6.923076923076923","0.06593406593406594"
"Royal Challengers Bangalore","2011","12","121","3","100","7.26","0.18"
"Royal Challengers Bangalore","2008","18","101","7","73","8.301369863013699","0.5753424657534246"
"Chennai Super Kings","2015","2","117","4","108","6.5","0.2222222222222222"
"Kings XI Punjab","2011","16","117","10","88","7.9772727272727275","0.6818181818181818"
"Rajasthan Royals","2014","1","90","2","94","5.74468085106383","0.1276595744680851"
"Kolkata Knight Riders","2010","12","97","3","87","6.689655172413793","0.20689655172413793"
"Kolkata Knight Riders","2009","18","101","4","66","9.181818181818182","0.36363636363636365"
"Royal Challengers Bangalore","2012","8","108","2","92","7.043478260869565","0.13043478260869565"
"Delhi Daredevils","2012","13","146","4","105","8.342857142857143","0.22857142857142856"
"Royal Challengers Bangalore","2016","17","162","4","91","10.68131868131868","0.26373626373626374"
"Kings XI Punjab","2014","4","159","4","104","9.173076923076923","0.23076923076923078"
"Pune Warriors","2013","12","87","3","96","5.4375","0.1875"
"Rajasthan Royals","2013","11","154","2","112","8.25","0.10714285714285714"
"Deccan Chargers","2010","14","113","5","96","7.0625","0.3125"
"Kolkata Knight Riders","2016","9","108","3","91","7.1208791208791204","0.1978021978021978"
"Mumbai Indians","2008","13","108","5","81","8.0","0.37037037037037035"
"Rajasthan Royals","2010","6","108","3","87","7.448275862068965","0.20689655172413793"
"Royal Challengers Bangalore","2008","11","109","5","85","7.694117647058824","0.35294117647058826"
"Chennai Super Kings","2014","7","90","5","101","5.346534653465347","0.297029702970297"
"Sunrisers Hyderabad","2013","2","108","9","107","6.05607476635514","0.5046728971962616"
"Kings XI Punjab","2010","13","102","2","86","7.116279069767442","0.13953488372093023"
"Rajasthan Royals","2009","2","49","8","83","3.5421686746987953","0.5783132530120482"
"Kolkata Knight Riders","2009","11","67","4","72","5.583333333333333","0.3333333333333333"
"Royal Challengers Bangalore","2013","1","115","0","111","6.216216216216216","0.0"
"Delhi Daredevils","2013","16","112","4","97","6.927835051546392","0.24742268041237114"
"Chennai Super Kings","2013","9","125","1","105","7.142857142857143","0.05714285714285714"
"Kings XI Punjab","2013","3","117","8","99","7.090909090909091","0.48484848484848486"
"Rajasthan Royals","2013","20","142","10","77","11.064935064935066","0.7792207792207793"
"Rajasthan Royals","2012","10","147","1","100","8.82","0.06"
"Chennai Super Kings","2010","4","110","6","100","6.6","0.36"
"Deccan Chargers","2009","13","143","4","101","8.495049504950495","0.2376237623762376"
"Mumbai Indians","2009","12","93","3","80","6.975","0.225"
"Rising Pune Supergiants","2016","16","87","3","68","7.676470588235294","0.2647058823529412"
"Kolkata Knight Riders","2012","20","123","8","72","10.25","0.6666666666666666"
"Royal Challengers Bangalore","2009","6","103","4","98","6.3061224489795915","0.24489795918367346"
"Chennai Super Kings","2009","8","83","1","87","5.724137931034483","0.06896551724137931"
"Gujarat Lions","2016","5","148","3","99","8.969696969696969","0.18181818181818182"
"Deccan Chargers","2012","7","76","3","91","5.010989010989011","0.1978021978021978"
"Mumbai Indians","2010","8","94","4","101","5.584158415841584","0.2376237623762376"
"Kings XI Punjab","2009","14","94","1","80","7.05","0.075"
"Rajasthan Royals","2008","3","117","4","100","7.02","0.24"
"Kolkata Knight Riders","2008","14","100","5","80","7.5","0.375"
"Rising Pune Supergiants","2016","9","111","1","87","7.655172413793103","0.06896551724137931"
"Delhi Daredevils","2014","15","88","4","85","6.211764705882353","0.2823529411764706"
"Delhi Daredevils","2015","19","113","7","74","9.162162162162161","0.5675675675675675"
"Chennai Super Kings","2013","18","166","7","97","10.268041237113403","0.4329896907216495"
