MS Dhoni
Murali Vijay
Ravichandran Ashwin
Ravindra Jadeja
Shadab Jakati
Suresh Raina
Wriddhiman Saha
George Bailey
Francois du Plessis
Dwayne Bravo
Albie Morkel
Amit Mishra
Ankit Sharma
Ashish Reddy
Ishant Sharma
Shikhar Dhawan
Parthiv Patel
Ashok Dinda
Irfan Pathan
Naman Ojha
Pawan Negi
Shahbaz Nadeem
Umesh Yadav
Unmukt Chand
Varun Aaron
Bipul Sharma
Mandeep Singh
Paras Dogra
Piyush Chawla
Praveen Kumar
Rajagopal Sathish
Vikramjeet Malik
Gautam Gambhir
Iqbal Abdulla
Jaydev Unadkat
Pradeep Sangwan
Rajat Bhatia
Sarabjit Ladda
Mohammed Shami
Yusuf Pathan
Abu Nechim
Aditya Tare
Ambati Rayudu
Dhawal Kulkarni
Dinesh Karthik
Harbhajan Singh
Pawan Suyal
Rohit Sharma
Suryakumar Yadav
Tirumalasetti Suman
Yuzvendra Chahal
RP Singh
Yuvraj Singh
Ashish Nehra
Bhuvneshwar Kumar
Eklavya Dwivedi 
Manish Pandey
Robin Uthappa
Ajinkya Rahane
Deepak Chahar
Stuart Binny
Abhimanyu Mithun
Harshal Patel
Mayank Agarwal
Sreenath Aravind
Saurabh Tiwary
Virat Kohli
Zaheer Khan
Vinay Kumar
Aaron Finch
Morne Morkel
David Warner
Kevin Pietersen
Andre Russell
Chris Lynn
Dale Steyn
JP Duminy
David Miller
Shaun Marsh
James Faulkner
Eoin Morgan
Shakib Al Hasan
Brendon McCullum
Sunil Narine
Marchant de Lange
Kieron Pollard
Lasith Malinga
Mitchell Johnson
Thisara Perera
Mitchell Marsh
Shane Watson
Shaun Tait
Brad Hogg
AB de Villiers
Chris Gayle
Gurkeerat Mann Singh
Sanju Samson
Kuldeep Yadav
Jaydev Shah
Steve Smith
Karun Nair
Glenn Maxwell
Kedar Jadhav
Tim Southee
Moises Henriques
Jaskaran Singh
Anureet Singh
Dwayne Smith
Martin Guptill
Adam Milne
Kane Williamson
Hashim Amla
Farhaan Behardien
Mitchell Starc
Jos Buttler
Samuel Badree
Lendl Simmons
Mitchell McClenaghan
John Hastings
Colin Munro
Kane Richardson
Quinton de Kock
Chris Morris
Nathan Coulter-Nile
David Wiese
Imran Tahir
Ben Cutting
Peter Handscomb
Usman Khawaja
Adam Zampa
Marcus Stoinis
Corey Anderson
Trent Boult
Travis Head
Jason Holder
Vijay Shankar
Baba Aparajith
Manan Vohra
Siddarth Kaul
Rishi Dhawan
Ishwar Pandey
Parveez Rasool
Kyle Abbott
Ankit Rajpoot
Mohit Sharma
Sandeep Sharma
Axar Patel
Pravin Tambe
Sachin Baby
Sheldon Jackson
Karn Sharma
Jasprit Bumrah
Lokesh Rahul
Chris Jordan
Scott Boland
Andrew Tye
Ricky Bhui
Deepak Hooda
Ankush Bains
Akhil Herwadkar
Shreyas Iyer
Sarfaraz Khan
Mustafizur Rahman
A Mishra
Jayant Yadav
Shardul Thakur
Shreyas Gopal
Chama Milind
Jerome Taylor
Carlos Brathwaite
Pratyush Singh
Nikhil Naik
Akshay Wakhare
Nitish Rana
Siddhesh Lad
Hardik Pandya
Jagadeesha Suchith
KC Cariappa
Pradeep Sahu
Barinder Sran
Sam Billings
Khaleel Ahmed
Armaan Jaffer
Mahipal Lomror
Rishabh Pant
Ishan Kishan
Akshdeep Nath
Shivil Kaushik
Umang Sharma
Swapnil Singh
Manan Sharma
Kishore Kamath
Krunal Pandya
Deepak Punia
Jitesh Sharma
Nathu Singh
Murugan Ashwin
Praveen Dubey
Akshay Karnewar
Vikas Tokas
Tabraiz Shamsi
